JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.738232013607194E+08,  4.397999403396662E+08, -2.743162477587974E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.731608238796600E+08,  4.409297748788080E+08, -2.744783016730359E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.724980910823512E+08,  4.420584914011776E+08, -2.746338571709535E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.718350063090813E+08,  4.431860798492822E+08, -2.747828928517175E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.711715728775303E+08,  4.443125301581299E+08, -2.749253874444279E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.705077940790857E+08,  4.454378322524182E+08, -2.750613198417515E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.698436731812600E+08,  4.465619760498275E+08, -2.751906690744948E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.691792134260635E+08,  4.476849514585961E+08, -2.753134143268779E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.685144180299791E+08,  4.488067483786281E+08, -2.754295349349874E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.678492901845847E+08,  4.499273567015473E+08, -2.755390103789222E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.671838330564733E+08,  4.510467663099124E+08, -2.756418202823573E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.665180497869756E+08,  4.521649670771675E+08, -2.757379444138834E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.658519434922280E+08,  4.532819488676835E+08, -2.758273626844954E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.651855172632105E+08,  4.543977015361264E+08, -2.759100551453561E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.645187741652820E+08,  4.555122149268826E+08, -2.759860019908580E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.638517172376111E+08,  4.566254788743368E+08, -2.760551835627764E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.631843494932805E+08,  4.577374832032139E+08, -2.761175803472465E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.625166739197329E+08,  4.588482177279552E+08, -2.761731729681149E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.618486934782437E+08,  4.599576722523114E+08, -2.762219421905562E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.611804111034615E+08,  4.610658365699476E+08, -2.762638689238322E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.605118297056780E+08,  4.621727004622741E+08, -2.762989341949463E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.598429521664208E+08,  4.632782537000946E+08, -2.763271191923860E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.591737813429530E+08,  4.643824860419822E+08, -2.763484052171800E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.585043200630255E+08,  4.654853872339536E+08, -2.763627737352738E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.578345711290888E+08,  4.665869470102995E+08, -2.763702063311028E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.571645373155210E+08,  4.676871550923372E+08, -2.763706847344163E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.564942213692367E+08,  4.687860011890262E+08, -2.763641908120006E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.558236260102110E+08,  4.698834749962357E+08, -2.763507065588164E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.551527539308345E+08,  4.709795661957660E+08, -2.763302141016898E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.544816077954575E+08,  4.720742644551799E+08, -2.763026957017258E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.538101902403131E+08,  4.731675594276110E+08, -2.762681337524149E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.531385038731707E+08,  4.742594407510989E+08, -2.762265107802421E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.524665512727458E+08,  4.753498980482239E+08, -2.761778094484404E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.517943349885349E+08,  4.764389209263562E+08, -2.761220125566477E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.511218575411335E+08,  4.775264989773996E+08, -2.760591030342281E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.504491214221537E+08,  4.786126217765078E+08, -2.759890639365727E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.497761290934219E+08,  4.796972788816718E+08, -2.759118784507203E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.491028829867668E+08,  4.807804598342292E+08, -2.758275298956370E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.484293855044274E+08,  4.818621541555072E+08, -2.757360017100373E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.477556390168005E+08,  4.829423513505473E+08, -2.756372774794039E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.470816458648478E+08,  4.840210409042596E+08, -2.755313409018901E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.464074083559054E+08,  4.850982122828651E+08, -2.754181758333760E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.457329287676185E+08,  4.861738549327250E+08, -2.752977662388626E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.450582093449618E+08,  4.872479582799374E+08, -2.751700962221938E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.443832523009924E+08,  4.883205117301081E+08, -2.750351500144139E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.437080598167384E+08,  4.893915046670513E+08, -2.748929119691080E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.430326340399817E+08,  4.904609264519685E+08, -2.747433665715104E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.423569770847466E+08,  4.915287664233923E+08, -2.745864984416190E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.416810910312498E+08,  4.925950138968943E+08, -2.744222923312867E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.410049779254442E+08,  4.936596581643324E+08, -2.742507331246644E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.403286397784534E+08,  4.947226884933254E+08, -2.740718058406577E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.396520785665543E+08,  4.957840941269923E+08, -2.738854956299600E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.389752962312058E+08,  4.968438642830095E+08, -2.736917877695152E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.382982946781845E+08,  4.979019881521088E+08, -2.734906676655069E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.376210757766292E+08,  4.989584548980306E+08, -2.732821208618876E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.369436413592222E+08,  5.000132536579465E+08, -2.730661330372763E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.362659932210113E+08,  5.010663735384906E+08, -2.728426900035521E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.355881331194605E+08,  5.021178036210185E+08, -2.726117777193999E+07,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.349100627746724E+08,  5.031675329550952E+08, -2.723733822646758E+07,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.342317838669609E+08,  5.042155505631170E+08, -2.721274898817107E+07,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.335532980392398E+08,  5.052618454355587E+08, -2.718740869278279E+07,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.328746068943466E+08,  5.063064065325608E+08, -2.716131599088243E+07,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.321957119954185E+08,  5.073492227829742E+08, -2.713446954672652E+07,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.315166148649411E+08,  5.083902830832129E+08, -2.710686803841290E+07,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.308373169832891E+08,  5.094295762973603E+08, -2.707851015907344E+07,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.301578197883400E+08,  5.104670912572863E+08, -2.704939461681160E+07,
2447279.500092593, A.D. 1988-Apr-28 00:00:08.0000,  5.294781246752260E+08,  5.115028167620194E+08, -2.701952013410291E+07,
2447280.500092593, A.D. 1988-Apr-29 00:00:08.0000,  5.287982329952838E+08,  5.125367415768886E+08, -2.698888544794759E+07,
2447281.500092593, A.D. 1988-Apr-30 00:00:08.0000,  5.281181460548666E+08,  5.135688544329463E+08, -2.695748931027886E+07,
2447282.500092593, A.D. 1988-May-01 00:00:08.0000,  5.274378651146826E+08,  5.145991440263256E+08, -2.692533048773488E+07,
2447283.500092593, A.D. 1988-May-02 00:00:08.0000,  5.267573913888357E+08,  5.156275990170722E+08, -2.689240776152715E+07,
2447284.500092593, A.D. 1988-May-03 00:00:08.0000,  5.260767260429261E+08,  5.166542080280860E+08, -2.685871992843512E+07,
2447285.500092593, A.D. 1988-May-04 00:00:08.0000,  5.253958701930130E+08,  5.176789596451749E+08, -2.682426580144969E+07,
2447286.500092593, A.D. 1988-May-05 00:00:08.0000,  5.247148249058267E+08,  5.187018424166600E+08, -2.678904420889872E+07,
2447287.500092593, A.D. 1988-May-06 00:00:08.0000,  5.240335911953585E+08,  5.197228448503047E+08, -2.675305399633476E+07,
2447288.500092593, A.D. 1988-May-07 00:00:08.0000,  5.233521700255575E+08,  5.207419554163412E+08, -2.671629402470088E+07,
2447289.500092593, A.D. 1988-May-08 00:00:08.0000,  5.226705623071039E+08,  5.217591625414666E+08, -2.667876317056474E+07,
2447290.500092593, A.D. 1988-May-09 00:00:08.0000,  5.219887688966350E+08,  5.227744546135701E+08, -2.664046032922313E+07,
2447291.500092593, A.D. 1988-May-10 00:00:08.0000,  5.213067905966775E+08,  5.237878199750325E+08, -2.660138441084740E+07,
2447292.500092593, A.D. 1988-May-11 00:00:08.0000,  5.206246281535014E+08,  5.247992469254949E+08, -2.656153434410438E+07,
2447293.500092593, A.D. 1988-May-12 00:00:08.0000,  5.199422822568625E+08,  5.258087237201611E+08, -2.652090907527098E+07,
2447294.500092593, A.D. 1988-May-13 00:00:08.0000,  5.192597535386750E+08,  5.268162385686818E+08, -2.647950756877613E+07,
2447295.500092593, A.D. 1988-May-14 00:00:08.0000,  5.185770425718565E+08,  5.278217796353298E+08, -2.643732880827466E+07,
2447296.500092593, A.D. 1988-May-15 00:00:08.0000,  5.178941498700335E+08,  5.288253350382875E+08, -2.639437179628143E+07,
2447297.500092593, A.D. 1988-May-16 00:00:08.0000,  5.172110758868262E+08,  5.298268928481693E+08, -2.635063555375418E+07,
2447298.500092593, A.D. 1988-May-17 00:00:08.0000,  5.165278210142346E+08,  5.308264410870566E+08, -2.630611912087369E+07,
2447299.500092593, A.D. 1988-May-18 00:00:08.0000,  5.158443855811876E+08,  5.318239677280884E+08, -2.626082155796170E+07,
2447300.500092593, A.D. 1988-May-19 00:00:08.0000,  5.151607698527362E+08,  5.328194606947198E+08, -2.621474194551265E+07,
2447301.500092593, A.D. 1988-May-20 00:00:08.0000,  5.144769740287743E+08,  5.338129078596866E+08, -2.616787938449845E+07,
2447302.500092593, A.D. 1988-May-21 00:00:08.0000,  5.137929982419777E+08,  5.348042970446712E+08, -2.612023299787471E+07,
2447303.500092593, A.D. 1988-May-22 00:00:08.0000,  5.131088425572249E+08,  5.357936160203999E+08, -2.607180193085119E+07,
2447304.500092593, A.D. 1988-May-23 00:00:08.0000,  5.124245069717612E+08,  5.367808525054231E+08, -2.602258534957513E+07,
2447305.500092593, A.D. 1988-May-24 00:00:08.0000,  5.117399914099990E+08,  5.377659941648921E+08, -2.597258244513446E+07,
2447306.500092593, A.D. 1988-May-25 00:00:08.0000,  5.110552957284772E+08,  5.387490286111040E+08, -2.592179242856768E+07,
2447307.500092593, A.D. 1988-May-26 00:00:08.0000,  5.103704197080176E+08,  5.397299433996111E+08, -2.587021453556952E+07,
2447308.500092593, A.D. 1988-May-27 00:00:08.0000,  5.096853630568267E+08,  5.407087260335375E+08, -2.581784802611285E+07,
2447309.500092593, A.D. 1988-May-28 00:00:08.0000,  5.090001254053981E+08,  5.416853639575188E+08, -2.576469218466797E+07,
2447310.500092593, A.D. 1988-May-29 00:00:08.0000,  5.083147063068135E+08,  5.426598445612602E+08, -2.571074632200611E+07,
2447311.500092593, A.D. 1988-May-30 00:00:08.0000,  5.076291052353985E+08,  5.436321551775368E+08, -2.565600977466461E+07,
2447312.500092593, A.D. 1988-May-31 00:00:08.0000,  5.069433215846727E+08,  5.446022830813437E+08, -2.560048190583715E+07,
2447313.500092593, A.D. 1988-Jun-01 00:00:08.0000,  5.062573546661207E+08,  5.455702154900212E+08, -2.554416210618418E+07,
2447314.500092593, A.D. 1988-Jun-02 00:00:08.0000,  5.055712037079605E+08,  5.465359395620755E+08, -2.548704979372963E+07,
2447315.500092593, A.D. 1988-Jun-03 00:00:08.0000,  5.048848678530974E+08,  5.474994423957846E+08, -2.542914441432178E+07,
2447316.500092593, A.D. 1988-Jun-04 00:00:08.0000,  5.041983461568101E+08,  5.484607110290006E+08, -2.537044544313952E+07,
2447317.500092593, A.D. 1988-Jun-05 00:00:08.0000,  5.035116375850236E+08,  5.494197324392796E+08, -2.531095238587201E+07,
