JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.204754478623316E+09, -2.020079697203573E+09, -3.958375193504870E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.205106805755151E+09, -2.019713757454931E+09, -3.961721318131506E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.205458611398814E+09, -2.019347508568089E+09, -3.965045887352610E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.205809897520256E+09, -2.018980947796296E+09, -3.968348696246862E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.206160666107132E+09, -2.018614072395311E+09, -3.971629540228450E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.206510919169985E+09, -2.018246879625059E+09, -3.974888215179026E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.206860658741113E+09, -2.017879366749174E+09, -3.978124517398775E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.207209886874552E+09, -2.017511531034139E+09, -3.981338243539310E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.207558605646302E+09, -2.017143369749376E+09, -3.984529190610528E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.207906817154560E+09, -2.016774880167322E+09, -3.987697155987334E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.208254523519972E+09, -2.016406059563506E+09, -3.990841937416244E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.208601726885895E+09, -2.016036905216598E+09, -3.993963333022320E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.208948429418658E+09, -2.015667414408446E+09, -3.997061141315591E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.209294633307841E+09, -2.015297584424090E+09, -4.000135161197603E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.209640340766545E+09, -2.014927412551742E+09, -4.003185191967762E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.209985554031656E+09, -2.014556896082740E+09, -4.006211033329070E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.210330275364089E+09, -2.014186032311468E+09, -4.009212485393739E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.210674507049012E+09, -2.013814818535250E+09, -4.012189348688209E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.211018251396022E+09, -2.013443252054224E+09, -4.015141424157584E+07,
2420974.500370370, A.D. 1916-Apr-21 00:00:32.0000,  2.211361510739284E+09, -2.013071330171198E+09, -4.018068513169599E+07,
2420975.500370370, A.D. 1916-Apr-22 00:00:32.0000,  2.211704287437608E+09, -2.012699050191508E+09, -4.020970417518151E+07,
2420976.500370370, A.D. 1916-Apr-23 00:00:32.0000,  2.212046583874485E+09, -2.012326409422904E+09, -4.023846939426494E+07,
2420977.500370370, A.D. 1916-Apr-24 00:00:32.0000,  2.212388402458067E+09, -2.011953405175460E+09, -4.026697881550026E+07,
2420978.500370370, A.D. 1916-Apr-25 00:00:32.0000,  2.212729745621115E+09, -2.011580034761533E+09, -4.029523046979713E+07,
