JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.641781866443516E+08,  9.998845586526496E+08, -5.480990587362003E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.636442006392772E+08,  1.000428871877571E+09, -5.480298796643138E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.631096024811991E+08,  1.000972199639123E+09, -5.479606170402777E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.625743891664436E+08,  1.001514543674116E+09, -5.478912680004209E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.620385577058183E+08,  1.002055905733123E+09, -5.478218296835476E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.615021051246190E+08,  1.002596287580488E+09, -5.477522992309445E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.609650284633341E+08,  1.003135690989118E+09, -5.476826737901568E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.604273247773380E+08,  1.003674117744815E+09, -5.476129505117005E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.598889911362965E+08,  1.004211569650498E+09, -5.475431265458947E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.593500246247708E+08,  1.004748048520949E+09, -5.474731990466726E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.588104223422209E+08,  1.005283556182825E+09, -5.474031651715773E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.582701814030086E+08,  1.005818094474663E+09, -5.473330220817620E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.577292989363977E+08,  1.006351665246886E+09, -5.472627669419748E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.571877720865576E+08,  1.006884270361804E+09, -5.471923969205695E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.566455980125642E+08,  1.007415911693626E+09, -5.471219091894883E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.561027738884001E+08,  1.007946591128452E+09, -5.470513009242696E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.555592969029574E+08,  1.008476310564288E+09, -5.469805693040371E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.550151642600373E+08,  1.009005071911040E+09, -5.469097115115041E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.544703731783515E+08,  1.009532877090520E+09, -5.468387247329628E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.539249208915230E+08,  1.010059728036448E+09, -5.467676061582917E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.533788046480854E+08,  1.010585626694450E+09, -5.466963529809475E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.528320217114847E+08,  1.011110575022063E+09, -5.466249623979676E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.522845693600782E+08,  1.011634574988733E+09, -5.465534316099638E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.517364448871359E+08,  1.012157628575812E+09, -5.464817578211302E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.511876456018279E+08,  1.012679737771947E+09, -5.464099382403523E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.506381688285573E+08,  1.013200904576650E+09, -5.463379700808138E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.500880119059989E+08,  1.013721131004061E+09, -5.462658505591834E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.495371721879878E+08,  1.014240419078406E+09, -5.461935768965864E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.489856470435187E+08,  1.014758770833985E+09, -5.461211463186133E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.484334338567458E+08,  1.015276188315172E+09, -5.460485560553205E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.478805300269827E+08,  1.015792673576409E+09, -5.459758033412319E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.473269329687021E+08,  1.016308228682199E+09, -5.459028854153502E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.467726401115361E+08,  1.016822855707097E+09, -5.458297995211560E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.462176489002770E+08,  1.017336556735702E+09, -5.457565429066235E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.456619567948786E+08,  1.017849333862647E+09, -5.456831128242248E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.451055612704579E+08,  1.018361189192583E+09, -5.456095065309471E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.445484598172996E+08,  1.018872124840169E+09, -5.455357212883067E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.439906499408605E+08,  1.019382142930050E+09, -5.454617543623656E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.434321291617771E+08,  1.019891245596845E+09, -5.453876030237579E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.428728950158747E+08,  1.020399434985120E+09, -5.453132645477128E+07,
