JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.194527689118830E+09, -2.021656084506751E+09, -3.573662679259884E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.194841261547566E+09, -2.021205879863946E+09, -3.569208077998734E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.195155306493573E+09, -2.020754614832586E+09, -3.564760515828121E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.195469837181305E+09, -2.020302299519627E+09, -3.560320856334865E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.195784866545084E+09, -2.019848944459039E+09, -3.555889957559717E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.196100407248749E+09, -2.019394560534091E+09, -3.551468671370661E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.196416471596431E+09, -2.018939158969798E+09, -3.547057838894653E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.196733071537405E+09, -2.018482751365521E+09, -3.542658291421521E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.197050218658989E+09, -2.018025349676356E+09, -3.538270849666369E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.197367924180047E+09, -2.017566966194739E+09, -3.533896323064959E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.197686198945076E+09, -2.017107613532253E+09, -3.529535509102666E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.198005053418904E+09, -2.016647304601622E+09, -3.525189192676353E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.198324497681964E+09, -2.016186052598904E+09, -3.520858145489728E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.198644541426167E+09, -2.015723870985872E+09, -3.516543125481522E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.198965193951355E+09, -2.015260773472573E+09, -3.512244876286936E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.199286464162329E+09, -2.014796774000077E+09, -3.507964126731837E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.199608360566443E+09, -2.014331886723397E+09, -3.503701590359879E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.199930891271759E+09, -2.013866125994595E+09, -3.499457964992392E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.200254063985739E+09, -2.013399506346088E+09, -3.495233932320940E+07,
2420974.500370370, A.D. 1916-Apr-21 00:00:32.0000,  2.200577886014489E+09, -2.012932042474137E+09, -3.491030157532728E+07,
2420975.500370370, A.D. 1916-Apr-22 00:00:32.0000,  2.200902364262516E+09, -2.012463749222562E+09, -3.486847288968694E+07,
2420976.500370370, A.D. 1916-Apr-23 00:00:32.0000,  2.201227505233033E+09, -2.011994641566678E+09, -3.482685957814550E+07,
