JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.518862204139044E+08,  9.675880462721330E+08, -4.534751170632720E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.513255512410611E+08,  9.680863873280207E+08, -4.539433252474886E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.507647545673993E+08,  9.685850996364157E+08, -4.544168636748004E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.502038256633085E+08,  9.690841866261595E+08, -4.548956901194805E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.496427597964255E+08,  9.695836516685815E+08, -4.553797621009022E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.490815522320693E+08,  9.700834980774127E+08, -4.558690368881112E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.485201982355226E+08,  9.705837291092266E+08, -4.563634715117222E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.479586930706006E+08,  9.710843479637618E+08, -4.568630227623427E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.473970319984499E+08,  9.715853577829725E+08, -4.573676471883243E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.468352102798582E+08,  9.720867616511699E+08, -4.578773011074930E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.462732231756337E+08,  9.725885625950916E+08, -4.583919406117934E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.457110659469829E+08,  9.730907635839700E+08, -4.589115215719354E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.451487338558884E+08,  9.735933675296009E+08, -4.594359996420419E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.445862221654876E+08,  9.740963772864106E+08, -4.599653302643001E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.440235261404489E+08,  9.745997956515232E+08, -4.604994686736023E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.434606410473497E+08,  9.751036253648267E+08, -4.610383699022067E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.428975621550530E+08,  9.756078691090385E+08, -4.615819887843686E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.423342847350848E+08,  9.761125295097716E+08, -4.621302799610084E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.417708040620103E+08,  9.766176091355994E+08, -4.626831978843462E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.412071154138110E+08,  9.771231104981196E+08, -4.632406968225598E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.406432140722606E+08,  9.776290360520189E+08, -4.638027308644301E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.400790953233014E+08,  9.781353881951361E+08, -4.643692539239973E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.395147544574209E+08,  9.786421692685256E+08, -4.649402197452033E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.389501867700273E+08,  9.791493815565203E+08, -4.655155819065517E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.383853875623584E+08,  9.796570272848338E+08, -4.660952938154066E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.378203521412705E+08,  9.801651086229954E+08, -4.666793087210250E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.372550758191361E+08,  9.806736276860048E+08, -4.672675797293013E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.366895539147502E+08,  9.811825865322710E+08, -4.678600597974426E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.361237817536602E+08,  9.816919871637890E+08, -4.684567017383659E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.355577546684946E+08,  9.822018315263144E+08, -4.690574582250875E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.349914679992930E+08,  9.827121215095358E+08, -4.696622817951071E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.344249170938356E+08,  9.832228589472487E+08, -4.702711248548108E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.338580973079731E+08,  9.837340456175259E+08, -4.708839396838546E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.332910040059568E+08,  9.842456832428882E+08, -4.715006784395653E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.327236325607703E+08,  9.847577734904714E+08, -4.721212931613386E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.321559783544606E+08,  9.852703179721937E+08, -4.727457357750350E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.315880367784721E+08,  9.857833182449207E+08, -4.733739580973840E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.310198032339810E+08,  9.862967758106271E+08, -4.740059118403906E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.304512731322323E+08,  9.868106921165578E+08, -4.746415486157429E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.298824418948789E+08,  9.873250685553870E+08, -4.752808199392277E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.293133049543252E+08,  9.878399064653734E+08, -4.759236772351462E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.287438577540740E+08,  9.883552071305146E+08, -4.765700718407387E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.281740957475921E+08,  9.888709717795436E+08, -4.772199550029224E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.276040143997781E+08,  9.893872015873169E+08, -4.778732778861380E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.270336091887499E+08,  9.899038976759875E+08, -4.785299915849543E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.264628756047891E+08,  9.904210611139740E+08, -4.791900471219313E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.258918091506598E+08,  9.909386929161723E+08, -4.798533954514867E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.253204053419384E+08,  9.914567940441705E+08, -4.805199874637574E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.247486597073549E+08,  9.919753654064711E+08, -4.811897739884675E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.241765677891461E+08,  9.924944078587266E+08, -4.818627057988036E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.236041251434177E+08,  9.930139222039864E+08, -4.825387336152792E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.230313273405172E+08,  9.935339091929663E+08, -4.832178081095940E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  9.224581699654099E+08,  9.940543695243415E+08, -4.838998799084872E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  9.218846486180551E+08,  9.945753038450665E+08, -4.845848995975488E+07,
2440851.500266204, A.D. 1970-Sep-22 00:00:23.0000,  9.213107589137746E+08,  9.950967127507246E+08, -4.852728177250195E+07,
2440852.500266204, A.D. 1970-Sep-23 00:00:23.0000,  9.207364964836036E+08,  9.956185967859116E+08, -4.859635848055345E+07,
2440853.500266204, A.D. 1970-Sep-24 00:00:23.0000,  9.201618569746149E+08,  9.961409564446464E+08, -4.866571513238257E+07,
2440854.500266204, A.D. 1970-Sep-25 00:00:23.0000,  9.195868360502051E+08,  9.966637921708039E+08, -4.873534677383685E+07,
2440855.500266204, A.D. 1970-Sep-26 00:00:23.0000,  9.190114293903363E+08,  9.971871043585614E+08, -4.880524844849837E+07,
2440856.500266204, A.D. 1970-Sep-27 00:00:23.0000,  9.184356326917229E+08,  9.977108933528440E+08, -4.887541519803715E+07,
2440857.500266204, A.D. 1970-Sep-28 00:00:23.0000,  9.178594416667230E+08,  9.982351594513644E+08, -4.894584206258690E+07,
2440858.500266204, A.D. 1970-Sep-29 00:00:23.0000,  9.172828520440848E+08,  9.987599029035732E+08, -4.901652408061045E+07,
2440859.500266204, A.D. 1970-Sep-30 00:00:23.0000,  9.167058595702773E+08,  9.992851239095546E+08, -4.908745628938568E+07,
2440860.500266204, A.D. 1970-Oct-01 00:00:23.0000,  9.161284600084162E+08,  9.998108226219419E+08, -4.915863372552830E+07,
2440861.500266204, A.D. 1970-Oct-02 00:00:23.0000,  9.155506491382027E+08,  1.000336999146179E+09, -4.923005142527902E+07,
2440862.500266204, A.D. 1970-Oct-03 00:00:23.0000,  9.149724227558775E+08,  1.000863653540720E+09, -4.930170442479408E+07,
2440863.500266204, A.D. 1970-Oct-04 00:00:23.0000,  9.143937766742045E+08,  1.001390785817182E+09, -4.937358776044440E+07,
2440864.500266204, A.D. 1970-Oct-05 00:00:23.0000,  9.138147067224946E+08,  1.001918395940456E+09, -4.944569646912104E+07,
2440865.500266204, A.D. 1970-Oct-06 00:00:23.0000,  9.132352087466736E+08,  1.002446483828805E+09, -4.951802558854616E+07,
2440866.500266204, A.D. 1970-Oct-07 00:00:23.0000,  9.126552786094013E+08,  1.002975049353943E+09, -4.959057015758991E+07,
2440867.500266204, A.D. 1970-Oct-08 00:00:23.0000,  9.120749121902310E+08,  1.003504092341125E+09, -4.966332521658999E+07,
2440868.500266204, A.D. 1970-Oct-09 00:00:23.0000,  9.114941053858062E+08,  1.004033612569258E+09, -4.973628580767405E+07,
2440869.500266204, A.D. 1970-Oct-10 00:00:23.0000,  9.109128541100869E+08,  1.004563609771015E+09, -4.980944697508252E+07,
2440870.500266204, A.D. 1970-Oct-11 00:00:23.0000,  9.103311542945950E+08,  1.005094083632996E+09, -4.988280376549155E+07,
2440871.500266204, A.D. 1970-Oct-12 00:00:23.0000,  9.097490018886720E+08,  1.005625033795895E+09, -4.995635122833472E+07,
2440872.500266204, A.D. 1970-Oct-13 00:00:23.0000,  9.091663928597423E+08,  1.006156459854704E+09, -5.003008441612428E+07,
2440873.500266204, A.D. 1970-Oct-14 00:00:23.0000,  9.085833231935780E+08,  1.006688361358926E+09, -5.010399838476944E+07,
2440874.500266204, A.D. 1970-Oct-15 00:00:23.0000,  9.079997888945584E+08,  1.007220737812820E+09, -5.017808819389361E+07,
2440875.500266204, A.D. 1970-Oct-16 00:00:23.0000,  9.074157859863721E+08,  1.007753588677438E+09, -5.025234890730512E+07,
2440876.500266204, A.D. 1970-Oct-17 00:00:23.0000,  9.068313105113320E+08,  1.008286913369339E+09, -5.032677559274071E+07,
2440877.500266204, A.D. 1970-Oct-18 00:00:23.0000,  9.062463585303568E+08,  1.008820711259231E+09, -5.040136332220590E+07,
2440878.500266204, A.D. 1970-Oct-19 00:00:23.0000,  9.056609261238083E+08,  1.009354981674032E+09, -5.047610717258644E+07,
2440879.500266204, A.D. 1970-Oct-20 00:00:23.0000,  9.050750093916333E+08,  1.009889723897188E+09, -5.055100222588861E+07,
2440880.500266204, A.D. 1970-Oct-21 00:00:23.0000,  9.044886044535013E+08,  1.010424937168984E+09, -5.062604356947958E+07,
2440881.500266204, A.D. 1970-Oct-22 00:00:23.0000,  9.039017074489336E+08,  1.010960620686861E+09, -5.070122629632640E+07,
2440882.500266204, A.D. 1970-Oct-23 00:00:23.0000,  9.033143145374284E+08,  1.011496773605739E+09, -5.077654550523549E+07,
2440883.500266204, A.D. 1970-Oct-24 00:00:23.0000,  9.027264218985804E+08,  1.012033395038329E+09, -5.085199630109018E+07,
2440884.500266204, A.D. 1970-Oct-25 00:00:23.0000,  9.021380257321961E+08,  1.012570484055454E+09, -5.092757379508948E+07,
2440885.500266204, A.D. 1970-Oct-26 00:00:23.0000,  9.015491222584049E+08,  1.013108039686361E+09, -5.100327310498548E+07,
2440886.500266204, A.D. 1970-Oct-27 00:00:23.0000,  9.009597077177696E+08,  1.013646060919042E+09, -5.107908935532111E+07,
2440887.500266204, A.D. 1970-Oct-28 00:00:23.0000,  9.003697783713909E+08,  1.014184546700542E+09, -5.115501767766744E+07,
2440888.500266204, A.D. 1970-Oct-29 00:00:23.0000,  8.997793305010130E+08,  1.014723495937276E+09, -5.123105321086121E+07,
2440889.500266204, A.D. 1970-Oct-30 00:00:23.0000,  8.991883604091250E+08,  1.015262907495337E+09, -5.130719110124224E+07,
2440890.500266204, A.D. 1970-Oct-31 00:00:23.0000,  8.985968644190623E+08,  1.015802780200809E+09, -5.138342650289047E+07,
2440891.500266204, A.D. 1970-Nov-01 00:00:23.0000,  8.980048388751060E+08,  1.016343112840074E+09, -5.145975457786369E+07,
2440892.500266204, A.D. 1970-Nov-02 00:00:23.0000,  8.974122801425817E+08,  1.016883904160120E+09, -5.153617049643421E+07,
2440893.500266204, A.D. 1970-Nov-03 00:00:23.0000,  8.968191846090934E+08,  1.017425152868408E+09, -5.161266943760109E+07,
2440894.500266204, A.D. 1970-Nov-04 00:00:23.0000,  8.962255486832148E+08,  1.017966857633664E+09, -5.168924658871329E+07,
2440895.500266204, A.D. 1970-Nov-05 00:00:23.0000,  8.956313687936491E+08,  1.018509017086618E+09, -5.176589714560157E+07,
2440896.500266204, A.D. 1970-Nov-06 00:00:23.0000,  8.950366413905729E+08,  1.019051629819870E+09, -5.184261631320816E+07,
2440897.500266204, A.D. 1970-Nov-07 00:00:23.0000,  8.944413629456774E+08,  1.019594694388204E+09, -5.191939930576187E+07,
2440898.500266204, A.D. 1970-Nov-08 00:00:23.0000,  8.938455299522117E+08,  1.020138209308914E+09, -5.199624134695232E+07,
2440899.500266204, A.D. 1970-Nov-09 00:00:23.0000,  8.932491389250237E+08,  1.020682173062113E+09, -5.207313767010510E+07,
2440900.500266204, A.D. 1970-Nov-10 00:00:23.0000,  8.926521864006023E+08,  1.021226584091059E+09, -5.215008351835603E+07,
2440901.500266204, A.D. 1970-Nov-11 00:00:23.0000,  8.920546689371183E+08,  1.021771440802466E+09, -5.222707414482576E+07,
2440902.500266204, A.D. 1970-Nov-12 00:00:23.0000,  8.914565831144646E+08,  1.022316741566821E+09, -5.230410481279480E+07,
2440903.500266204, A.D. 1970-Nov-13 00:00:23.0000,  8.908579255342982E+08,  1.022862484718699E+09, -5.238117079587847E+07,
2440904.500266204, A.D. 1970-Nov-14 00:00:23.0000,  8.902586928200788E+08,  1.023408668557081E+09, -5.245826737820077E+07,
2440905.500266204, A.D. 1970-Nov-15 00:00:23.0000,  8.896588816171107E+08,  1.023955291345662E+09, -5.253538985457051E+07,
2440906.500266204, A.D. 1970-Nov-16 00:00:23.0000,  8.890584885925813E+08,  1.024502351313169E+09, -5.261253353065473E+07,
2440907.500266204, A.D. 1970-Nov-17 00:00:23.0000,  8.884575104356010E+08,  1.025049846653671E+09, -5.268969372315520E+07,
2440908.500266204, A.D. 1970-Nov-18 00:00:23.0000,  8.878559438572435E+08,  1.025597775526893E+09, -5.276686575998163E+07,
2440909.500266204, A.D. 1970-Nov-19 00:00:23.0000,  8.872537855905842E+08,  1.026146136058524E+09, -5.284404498042786E+07,
2440910.500266204, A.D. 1970-Nov-20 00:00:23.0000,  8.866510323907392E+08,  1.026694926340530E+09, -5.292122673534650E+07,
2440911.500266204, A.D. 1970-Nov-21 00:00:23.0000,  8.860476810349600E+08,  1.027244144429781E+09, -5.299840638755703E+07,
2440912.500266204, A.D. 1970-Nov-22 00:00:23.0000,  8.854437283224008E+08,  1.027793788349797E+09, -5.307557931151700E+07,
2440913.500266204, A.D. 1970-Nov-23 00:00:23.0000,  8.848391710741744E+08,  1.028343856092695E+09, -5.315274089337867E+07,
2440914.500266204, A.D. 1970-Nov-24 00:00:23.0000,  8.842340061335188E+08,  1.028894345617871E+09, -5.322988653148365E+07,
2440915.500266204, A.D. 1970-Nov-25 00:00:23.0000,  8.836282303658079E+08,  1.029445254852279E+09, -5.330701163648885E+07,
2440916.500266204, A.D. 1970-Nov-26 00:00:23.0000,  8.830218406585606E+08,  1.029996581690722E+09, -5.338411163149291E+07,
2440917.500266204, A.D. 1970-Nov-27 00:00:23.0000,  8.824148339214519E+08,  1.030548323996126E+09, -5.346118195216221E+07,
2440918.500266204, A.D. 1970-Nov-28 00:00:23.0000,  8.818072070863231E+08,  1.031100479599823E+09, -5.353821804685634E+07,
2440919.500266204, A.D. 1970-Nov-29 00:00:23.0000,  8.811989571071932E+08,  1.031653046301828E+09, -5.361521537675560E+07,
2440920.500266204, A.D. 1970-Nov-30 00:00:23.0000,  8.805900809602715E+08,  1.032206021871112E+09, -5.369216941598654E+07,
2440921.500266204, A.D. 1970-Dec-01 00:00:23.0000,  8.799805756439708E+08,  1.032759404045881E+09, -5.376907565174949E+07,
2440922.500266204, A.D. 1970-Dec-02 00:00:23.0000,  8.793704381789224E+08,  1.033313190533843E+09, -5.384592958444643E+07,
2440923.500266204, A.D. 1970-Dec-03 00:00:23.0000,  8.787596656079941E+08,  1.033867379012477E+09, -5.392272672780704E+07,
2440924.500266204, A.D. 1970-Dec-04 00:00:23.0000,  8.781482549963090E+08,  1.034421967129304E+09, -5.399946260901815E+07,
2440925.500266204, A.D. 1970-Dec-05 00:00:23.0000,  8.775362034312699E+08,  1.034976952502143E+09, -5.407613276885170E+07,
2440926.500266204, A.D. 1970-Dec-06 00:00:23.0000,  8.769235080225857E+08,  1.035532332719383E+09, -5.415273276179391E+07,
2440927.500266204, A.D. 1970-Dec-07 00:00:23.0000,  8.763101659023052E+08,  1.036088105340236E+09, -5.422925815617532E+07,
2440928.500266204, A.D. 1970-Dec-08 00:00:23.0000,  8.756961742248561E+08,  1.036644267894996E+09, -5.430570453430068E+07,
2440929.500266204, A.D. 1970-Dec-09 00:00:23.0000,  8.750815301659573E+08,  1.037200817884831E+09, -5.438206749210387E+07,
2440930.500266204, A.D. 1970-Dec-10 00:00:23.0000,  8.744662309234968E+08,  1.037757752782220E+09, -5.445834263948101E+07,
2440931.500266204, A.D. 1970-Dec-11 00:00:23.0000,  8.738502737187169E+08,  1.038315070031776E+09, -5.453452560093498E+07,
2440932.500266204, A.D. 1970-Dec-12 00:00:23.0000,  8.732336557952353E+08,  1.038872767050131E+09, -5.461061201530463E+07,
2440933.500266204, A.D. 1970-Dec-13 00:00:23.0000,  8.726163744191059E+08,  1.039430841226163E+09, -5.468659753585970E+07,
2440934.500266204, A.D. 1970-Dec-14 00:00:23.0000,  8.719984268788885E+08,  1.039989289921231E+09, -5.476247783039474E+07,
