JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.459336345381026E+08,  9.917247886227386E+08, -5.940759286973792E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.451583954215974E+08,  9.923052223459662E+08, -5.934018262776291E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.443835654664315E+08,  9.928844835126878E+08, -5.927244499455166E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.436091434366187E+08,  9.934625830901297E+08, -5.920438807795656E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.428351280097934E+08,  9.940395318571718E+08, -5.913601980760747E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.420615177812867E+08,  9.946153404084209E+08, -5.906734793959677E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.412883112761323E+08,  9.951900191544228E+08, -5.899838006038809E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.405155069501461E+08,  9.957635783215852E+08, -5.892912358885437E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.397431031867418E+08,  9.963360279616631E+08, -5.885958578245127E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.389710983073367E+08,  9.969073779541832E+08, -5.878977374183381E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.381994905748190E+08,  9.974776380093580E+08, -5.871969441457695E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.374282781969119E+08,  9.980468176710014E+08, -5.864935459883559E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.366574593294370E+08,  9.986149263194418E+08, -5.857876094694358E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.358870320794747E+08,  9.991819731744367E+08, -5.850791996895218E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.351169945084229E+08,  9.997479672980870E+08, -5.843683803610659E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.343473446349535E+08,  1.000312917597751E+09, -5.836552138426352E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.335780804378687E+08,  1.000876832828956E+09, -5.829397611724532E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.328091998588524E+08,  1.001439721598319E+09, -5.822220821013600E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.320407008051225E+08,  1.002001592366451E+09, -5.815022351251346E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.312725811519802E+08,  1.002562453450880E+09, -5.807802775162399E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.305048387452567E+08,  1.003122313028960E+09, -5.800562653549266E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.297374714036597E+08,  1.003681179140785E+09, -5.793302535597581E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.289704769210166E+08,  1.004239059692107E+09, -5.786022959174985E+07,
