JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.083225762879531E+08,  4.143637620929543E+08, -1.939847364341524E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.075062828681284E+08,  4.152551625096044E+08, -1.934784440014663E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.066880705670353E+08,  4.161465987197814E+08, -1.929699971861690E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.058679461805680E+08,  4.170380692078952E+08, -1.924594149704048E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.050459165041507E+08,  4.179295724496410E+08, -1.919467163084021E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.042219883286507E+08,  4.188211069131923E+08, -1.914319201221326E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.033961684447118E+08,  4.197126710600833E+08, -1.909150453040373E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.025684636409869E+08,  4.206042633448367E+08, -1.903961107183182E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.017388807053791E+08,  4.214958822162810E+08, -1.898751352005449E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.009074264263732E+08,  4.223875261172597E+08, -1.893521375605735E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.000741075933298E+08,  4.232791934841853E+08, -1.888271365852040E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.992389309969077E+08,  4.241708827474793E+08, -1.883001510390958E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.984019034298712E+08,  4.250625923318539E+08, -1.877711996661296E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.975630316876498E+08,  4.259543206559777E+08, -1.872403011918584E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.967223225685160E+08,  4.268460661325130E+08, -1.867074743250585E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.958797828739870E+08,  4.277378271689702E+08, -1.861727377577657E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.950354194097538E+08,  4.286296021681554E+08, -1.856361101662728E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.941892389865025E+08,  4.295213895275605E+08, -1.850976102141327E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.933412484201204E+08,  4.304131876396685E+08, -1.845572565531453E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.924914545324062E+08,  4.313049948930954E+08, -1.840150678229016E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.916398641527718E+08,  4.321968096692092E+08, -1.834710626592749E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.907864841163819E+08,  4.330886303465163E+08, -1.829252596866530E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.899313212675917E+08,  4.339804552971113E+08, -1.823776775274885E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.890743824563363E+08,  4.348722828891082E+08, -1.818283347978762E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.882156745429102E+08,  4.357641114858884E+08, -1.812772501117632E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.873552043959686E+08,  4.366559394464524E+08, -1.807244420811504E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.864929788940412E+08,  4.375477651259037E+08, -1.801699293170744E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.856290049265379E+08,  4.384395868746183E+08, -1.796137304325435E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.847632893936486E+08,  4.393314030379097E+08, -1.790558640443876E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.838958392067225E+08,  4.402232119564971E+08, -1.784963487738979E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.830266612890389E+08,  4.411150119666530E+08, -1.779352032480317E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.821557625761815E+08,  4.420068013998964E+08, -1.773724461012393E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.812831500162158E+08,  4.428985785831565E+08, -1.768080959765515E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.804088305703915E+08,  4.437903418394330E+08, -1.762421715259972E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.795328112141881E+08,  4.446820894876647E+08, -1.756746914122105E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.786550989377935E+08,  4.455738198416859E+08, -1.751056743112797E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.777757007461996E+08,  4.464655312105494E+08, -1.745351389135197E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.768946236600370E+08,  4.473572218994040E+08, -1.739631039234862E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.760118747158378E+08,  4.482488902055931E+08, -1.733895880668035E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.751274609659543E+08,  4.491405344249534E+08, -1.728146100822785E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.742413894802858E+08,  4.500321528459031E+08, -1.722381887316039E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.733536673445410E+08,  4.509237437541444E+08, -1.716603427942264E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.724643016637059E+08,  4.518153054290845E+08, -1.710810910731149E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.715732995605026E+08,  4.527068361454168E+08, -1.705004523939770E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.706806681768126E+08,  4.535983341727364E+08, -1.699184456069127E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.697864146741512E+08,  4.544897977745189E+08, -1.693350895887282E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.688905462334352E+08,  4.553812252082235E+08, -1.687504032439432E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.679930700555203E+08,  4.562726147257301E+08, -1.681644055054206E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.670939933620130E+08,  4.571639645732145E+08, -1.675771153356248E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.661933233956085E+08,  4.580552729908148E+08, -1.669885517281041E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.652910674204141E+08,  4.589465382127084E+08, -1.663987337085399E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.643872327228607E+08,  4.598377584671994E+08, -1.658076803357592E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.634818266125780E+08,  4.607289319759722E+08, -1.652154107035524E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.625748564223784E+08,  4.616200569530964E+08, -1.646219439427435E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.616663295083481E+08,  4.625111316056015E+08, -1.640272992217252E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.607562532509965E+08,  4.634021541341705E+08, -1.634314957468674E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.598446350546232E+08,  4.642931227300789E+08, -1.628345527664638E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.589314823491734E+08,  4.651840355804149E+08, -1.622364895670885E+07,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.580168025907195E+08,  4.660748908621166E+08, -1.616373254795793E+07,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.571006032605363E+08,  4.669656867475708E+08, -1.610370798762432E+07,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.561828918678882E+08,  4.678564213990777E+08, -1.604357721753928E+07,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.552636759487048E+08,  4.687470929718482E+08, -1.598334218405348E+07,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.543429630668274E+08,  4.696376996132234E+08, -1.592300483817369E+07,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.534207608141621E+08,  4.705282394619761E+08, -1.586256713569903E+07,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.524970768104521E+08,  4.714187106490821E+08, -1.580203103725970E+07,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.515719187039083E+08,  4.723091112981769E+08, -1.574139850836191E+07,
2447279.500092593, A.D. 1988-Apr-28 00:00:08.0000,  5.506452941718798E+08,  4.731994395252033E+08, -1.568067151947626E+07,
2447280.500092593, A.D. 1988-Apr-29 00:00:08.0000,  5.497172109208707E+08,  4.740896934380865E+08, -1.561985204612646E+07,
2447281.500092593, A.D. 1988-Apr-30 00:00:08.0000,  5.487876766865447E+08,  4.749798711367231E+08, -1.555894206895414E+07,
2447282.500092593, A.D. 1988-May-01 00:00:08.0000,  5.478566992341969E+08,  4.758699707126292E+08, -1.549794357379359E+07,
2447283.500092593, A.D. 1988-May-02 00:00:08.0000,  5.469242863588449E+08,  4.767599902480209E+08, -1.543685855177692E+07,
2447284.500092593, A.D. 1988-May-03 00:00:08.0000,  5.459904458844944E+08,  4.776499278153869E+08, -1.537568899942392E+07,
2447285.500092593, A.D. 1988-May-04 00:00:08.0000,  5.450551856643839E+08,  4.785397814782132E+08, -1.531443691867626E+07,
2447286.500092593, A.D. 1988-May-05 00:00:08.0000,  5.441185135823103E+08,  4.794295492907970E+08, -1.525310431697032E+07,
2447287.500092593, A.D. 1988-May-06 00:00:08.0000,  5.431804375503664E+08,  4.803192292959235E+08, -1.519169320742229E+07,
2447288.500092593, A.D. 1988-May-07 00:00:08.0000,  5.422409655132337E+08,  4.812088195277378E+08, -1.513020560878882E+07,
2447289.500092593, A.D. 1988-May-08 00:00:08.0000,  5.413001054452841E+08,  4.820983180066586E+08, -1.506864354569176E+07,
2447290.500092593, A.D. 1988-May-09 00:00:08.0000,  5.403578653520774E+08,  4.829877227440176E+08, -1.500700904865456E+07,
2447291.500092593, A.D. 1988-May-10 00:00:08.0000,  5.394142532705950E+08,  4.838770317361478E+08, -1.494530415425414E+07,
2447292.500092593, A.D. 1988-May-11 00:00:08.0000,  5.384692772690986E+08,  4.847662429676808E+08, -1.488353090517661E+07,
2447293.500092593, A.D. 1988-May-12 00:00:08.0000,  5.375229454479886E+08,  4.856553544100718E+08, -1.482169135031745E+07,
2447294.500092593, A.D. 1988-May-13 00:00:08.0000,  5.365752659397974E+08,  4.865443640208630E+08, -1.475978754487953E+07,
2447295.500092593, A.D. 1988-May-14 00:00:08.0000,  5.356262469094068E+08,  4.874332697443113E+08, -1.469782155045155E+07,
2447296.500092593, A.D. 1988-May-15 00:00:08.0000,  5.346758965549297E+08,  4.883220695110809E+08, -1.463579543508604E+07,
2447297.500092593, A.D. 1988-May-16 00:00:08.0000,  5.337242231083109E+08,  4.892107612371386E+08, -1.457371127338421E+07,
2447298.500092593, A.D. 1988-May-17 00:00:08.0000,  5.327712348352947E+08,  4.900993428231531E+08, -1.451157114657843E+07,
2447299.500092593, A.D. 1988-May-18 00:00:08.0000,  5.318169400354734E+08,  4.909878121544052E+08, -1.444937714260378E+07,
2447300.500092593, A.D. 1988-May-19 00:00:08.0000,  5.308613470427450E+08,  4.918761671003532E+08, -1.438713135616347E+07,
2447301.500092593, A.D. 1988-May-20 00:00:08.0000,  5.299044642254587E+08,  4.927644055139977E+08, -1.432483588879555E+07,
2447302.500092593, A.D. 1988-May-21 00:00:08.0000,  5.289462999861043E+08,  4.936525252320421E+08, -1.426249284894249E+07,
2447303.500092593, A.D. 1988-May-22 00:00:08.0000,  5.279868627621085E+08,  4.945405240753483E+08, -1.420010435201591E+07,
2447304.500092593, A.D. 1988-May-23 00:00:08.0000,  5.270261610271521E+08,  4.954283998478689E+08, -1.413767252044949E+07,
