JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.566311390040405E+08,  9.807453051129442E+08, -5.514360441835541E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.554381621462103E+08,  9.815211658065321E+08, -5.518081412143850E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.553733628271959E+08,  9.819992736521206E+08, -5.516226645291531E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.541453770281497E+08,  9.825831911921122E+08, -5.510063032407439E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.540735512786843E+08,  9.832554306037096E+08, -5.517935244033331E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.528912296993903E+08,  9.836467781104560E+08, -5.502520052186120E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.527335313733687E+08,  9.845002407575260E+08, -5.518822716495037E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.516711519778736E+08,  9.847248519915688E+08, -5.496062966506302E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.513605822599264E+08,  9.857215019795051E+08, -5.518337085574174E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.504758724149488E+08,  9.858281422048707E+08, -5.491154055051005E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.499663197620195E+08,  9.869102180156293E+08, -5.516122698256671E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.492923304364125E+08,  9.869638244036901E+08, -5.488046801484889E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.485650417240759E+08,  9.880616230799638E+08, -5.512057555449665E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.481056270934390E+08,  9.881343494644339E+08, -5.486742771000648E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.471717957946267E+08,  9.891759518855324E+08, -5.506276408710909E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.469010654744183E+08,  9.893372175390373E+08, -5.486997018963796E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.458001325127380E+08,  9.902583006405957E+08, -5.499145061994374E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.456661127531226E+08,  9.905651149156641E+08, -5.488340422891974E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.444605606564236E+08,  9.913178622989719E+08, -5.491210263369346E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.443923474951771E+08,  9.918070580500921E+08, -5.490153080333889E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.431589674268397E+08,  9.923668200473111E+08, -5.483131322947383E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.430764742679583E+08,  9.930499268818455E+08, -5.491749566973770E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.418958236592300E+08,  9.934184587356931E+08, -5.475578972211206E+07,
