JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.563836726628439E+08,  9.806021359464912E+08, -5.505200584272420E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.556499010328028E+08,  9.817042498708577E+08, -5.528885888419116E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.552043274108276E+08,  9.817825208917810E+08, -5.504142747122681E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.542654333999969E+08,  9.828259449355339E+08, -5.522997333932126E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.540062910849342E+08,  9.829950049675750E+08, -5.504590436802262E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.529029786032708E+08,  9.839157190919329E+08, -5.515804324052769E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.527773181842821E+08,  9.842320393625218E+08, -5.506051672407746E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.515729809725904E+08,  9.849828342197692E+08, -5.507866997958183E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.515094138676398E+08,  9.854825025317891E+08, -5.507896576713783E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.502812725370414E+08,  9.860396083206869E+08, -5.499854533950609E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.501996964698199E+08,  9.867333905780299E+08, -5.509450112593216E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.490280983172891E+08,  9.870995760682347E+08, -5.492444095761269E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.488508075656695E+08,  9.879713782486346E+08, -5.510072928854370E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.478082049187181E+08,  9.881756813795257E+08, -5.486232135277891E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.474705329964980E+08,  9.891847784894452E+08, -5.509255603989893E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.466113942209958E+08,  9.892784312923950E+08, -5.481647230915439E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.460706453125242E+08,  9.903649803266053E+08, -5.506679148595661E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.454241626265966E+08,  9.904142856271328E+08, -5.478885148815316E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.446655360014875E+08,  9.915076957595493E+08, -5.502264219233370E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.442314586105566E+08,  9.915850067173736E+08, -5.477893205372429E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.432700909147264E+08,  9.926135994314687E+08, -5.496183291399229E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.430187794671705E+08,  9.927872295755097E+08, -5.478368221245128E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.418977606215241E+08,  9.936881409626633E+08, -5.488833172905213E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.417744192647047E+08,  9.940131024319032E+08, -5.479809804366571E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.405586868443247E+08,  9.947410090276287E+08, -5.480791393737698E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.404907104097776E+08,  9.952513387378130E+08, -5.481583952706468E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.392581853529985E+08,  9.957846890822929E+08, -5.472730139999419E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.391652650052085E+08,  9.964887369708225E+08, -5.483010358541512E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.379960572868078E+08,  9.968327774211166E+08, -5.465325931992161E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.378011346779552E+08,  9.977122157691933E+08, -5.483465266941673E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.367664591441880E+08,  9.978980851623605E+08, -5.459163925792122E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.364064136598145E+08,  9.989101851157057E+08, -5.482445584849328E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.355588745971534E+08,  9.989907316851836E+08, -5.454651809885705E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.349933016234370E+08,  1.000074350252387E+09, -5.479650260617959E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.343595586334305E+08,  1.000116841994507E+09, -5.451968326714677E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.335761857202649E+08,  1.001200870889088E+09, -5.475020162349212E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.331534380171583E+08,  1.001277648617053E+09, -5.451036082563508E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.321700369593064E+08,  1.002290780710030E+09, -5.468744477468950E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.319263138276584E+08,  1.002469391738979E+09, -5.451536908744001E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.307881574495882E+08,  1.003350050997440E+09, -5.461243256698149E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.306666769853591E+08,  1.003683857957273E+09, -5.452955540884823E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.294402229985631E+08,  1.004388594412880E+09, -5.453099803285843E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.293673378087698E+08,  1.004909553110289E+09, -5.454652863478625E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.281311422591274E+08,  1.005419159171551E+09, -5.444995425999510E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.280263253211195E+08,  1.006133353789467E+09, -5.455956350396258E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.268600891897439E+08,  1.006455438078529E+09, -5.437606136836296E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.266470951245899E+08,  1.007342101568107E+09, -5.456241238593429E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.256208244230508E+08,  1.007509896479475E+09, -5.431497166731578E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.252381750232331E+08,  1.008524445487153E+09, -5.455018898774105E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.244024623743101E+08,  1.008592398164201E+09, -5.427061663769662E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.238119577119746E+08,  1.009672443089606E+09, -5.452005703628695E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.231909910612115E+08,  1.009708610278141E+09, -5.424454978760070E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  9.223831017941290E+08,  1.010782590353927E+09, -5.447159801158190E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  9.219715289247919E+08,  1.010859303964071E+09, -5.423580379465258E+07,
2440851.500266204, A.D. 1970-Sep-22 00:00:23.0000,  9.209665028936497E+08,  1.011856418031845E+09, -5.440692652541757E+07,
2440852.500266204, A.D. 1970-Sep-23 00:00:23.0000,  9.207299513573046E+08,  1.012040323607624E+09, -5.424102496039248E+07,
2440853.500266204, A.D. 1970-Sep-24 00:00:23.0000,  9.195752004249715E+08,  1.012900260146275E+09, -5.433038520799500E+07,
2440854.500266204, A.D. 1970-Sep-25 00:00:23.0000,  9.194551117023273E+08,  1.013243094961654E+09, -5.425492542683494E+07,
2440855.500266204, A.D. 1970-Sep-26 00:00:23.0000,  9.182186158999939E+08,  1.013924471516647E+09, -5.424799779131180E+07,
2440856.500266204, A.D. 1970-Sep-27 00:00:23.0000,  9.181402729687234E+08,  1.014456099704677E+09, -5.427115015685254E+07,
2440857.500266204, A.D. 1970-Sep-28 00:00:23.0000,  9.169010500132595E+08,  1.014941963335026E+09, -5.416660132047778E+07,
2440858.500266204, A.D. 1970-Sep-29 00:00:23.0000,  9.167838112328973E+08,  1.015666022395845E+09, -5.428290705644155E+07,
2440859.500266204, A.D. 1970-Sep-30 00:00:23.0000,  9.156211995984602E+08,  1.015966282148029E+09, -5.409284468062449E+07,
2440860.500266204, A.D. 1970-Oct-01 00:00:23.0000,  9.153897075266899E+08,  1.016859761256047E+09, -5.428401356809253E+07,
2440861.500266204, A.D. 1970-Oct-02 00:00:23.0000,  9.143723085694127E+08,  1.017009841924848E+09, -5.403232036843437E+07,
2440862.500266204, A.D. 1970-Oct-03 00:00:23.0000,  9.139667576818883E+08,  1.018026270084608E+09, -5.426974517306626E+07,
2440863.500266204, A.D. 1970-Oct-04 00:00:23.0000,  9.131431322087194E+08,  1.018082072696031E+09, -5.398872612473136E+07,
2440864.500266204, A.D. 1970-Oct-05 00:00:23.0000,  9.125277112203583E+08,  1.019157859016251E+09, -5.423740337312651E+07,
2440865.500266204, A.D. 1970-Oct-06 00:00:23.0000,  9.119196456197526E+08,  1.019188220789341E+09, -5.396342455406666E+07,
2440866.500266204, A.D. 1970-Oct-07 00:00:23.0000,  9.110874014670675E+08,  1.020251514125138E+09, -5.418681095316297E+07,
2440867.500266204, A.D. 1970-Oct-08 00:00:23.0000,  9.106868299733456E+08,  1.020328627806831E+09, -5.395524125088739E+07,
2440868.500266204, A.D. 1970-Oct-09 00:00:23.0000,  9.096606010718570E+08,  1.021309151116250E+09, -5.412024509302026E+07,
2440869.500266204, A.D. 1970-Oct-10 00:00:23.0000,  9.094308993356414E+08,  1.021498700734809E+09, -5.396065101373053E+07,
2440870.500266204, A.D. 1970-Oct-11 00:00:23.0000,  9.082601936433758E+08,  1.022337575230447E+09, -5.404225782820266E+07,
2440871.500266204, A.D. 1970-Oct-12 00:00:23.0000,  9.081410132666931E+08,  1.022689689665787E+09, -5.397431787162119E+07,
2440872.500266204, A.D. 1970-Oct-13 00:00:23.0000,  9.068950977121303E+08,  1.023347492567872E+09, -5.395899655611867E+07,
2440873.500266204, A.D. 1970-Oct-14 00:00:23.0000,  9.068107304257981E+08,  1.023889719555657E+09, -5.398973742778921E+07,
2440874.500266204, A.D. 1970-Oct-15 00:00:23.0000,  9.055691516560155E+08,  1.024351848724785E+09, -5.387727288105541E+07,
2440875.500266204, A.D. 1970-Oct-16 00:00:23.0000,  9.054389636643643E+08,  1.025085523052897E+09, -5.400018690861565E+07,
2440876.500266204, A.D. 1970-Oct-17 00:00:23.0000,  9.042805026141151E+08,  1.025364241724145E+09, -5.380371951666659E+07,
2440877.500266204, A.D. 1970-Oct-18 00:00:23.0000,  9.040300276919774E+08,  1.026264095505274E+09, -5.399954976133496E+07,
2440878.500266204, A.D. 1970-Oct-19 00:00:23.0000,  9.030219214101294E+08,  1.026396809150290E+09, -5.374376123140407E+07,
2440879.500266204, A.D. 1970-Oct-20 00:00:23.0000,  9.025932693907552E+08,  1.027414494167192E+09, -5.398318429765314E+07,
2440880.500266204, A.D. 1970-Oct-21 00:00:23.0000,  9.017819922530112E+08,  1.027458627396079E+09, -5.370092239045078E+07,
2440881.500266204, A.D. 1970-Oct-22 00:00:23.0000,  9.011416498601240E+08,  1.028529491333886E+09, -5.394862340556079E+07,
2440882.500266204, A.D. 1970-Oct-23 00:00:23.0000,  9.005464624683534E+08,  1.028554522398330E+09, -5.367635488359165E+07,
2440883.500266204, A.D. 1970-Oct-24 00:00:23.0000,  8.996900976495748E+08,  1.029606423128088E+09, -5.389585308812332E+07,
2440884.500266204, A.D. 1970-Oct-25 00:00:23.0000,  8.993004089298650E+08,  1.029684378370754E+09, -5.366868340511781E+07,
2440885.500266204, A.D. 1970-Oct-26 00:00:23.0000,  8.982534418078119E+08,  1.030647760714872E+09, -5.382741824726415E+07,
2440886.500266204, A.D. 1970-Oct-27 00:00:23.0000,  8.980302302858039E+08,  1.030843311448866E+09, -5.367427056956482E+07,
2440887.500266204, A.D. 1970-Oct-28 00:00:23.0000,  8.968441410468606E+08,  1.031660716303861E+09, -5.374802329433417E+07,
2440888.500266204, A.D. 1970-Oct-29 00:00:23.0000,  8.967253676102678E+08,  1.032022225444947E+09, -5.368764172313744E+07,
2440889.500266204, A.D. 1970-Oct-30 00:00:23.0000,  8.954707506196545E+08,  1.032656250577445E+09, -5.366390557200384E+07,
2440890.500266204, A.D. 1970-Oct-31 00:00:23.0000,  8.953798239475422E+08,  1.033209110631040E+09, -5.370226567749226E+07,
