JDTDB,Calendar Date (TDB),X,Y,Z,
2433282.500000000, A.D. 1950-Jan-01 00:00:00.0000, -4.352180854382523E+09, -1.257924767510528E+09,  1.261793002778890E+08,
2433283.500000000, A.D. 1950-Jan-02 00:00:00.0000, -4.352105978327523E+09, -1.258400413803589E+09,  1.261970632423902E+08,
2433284.500000000, A.D. 1950-Jan-03 00:00:00.0000, -4.351970367871577E+09, -1.258904609482199E+09,  1.261800369983577E+08,
2433285.500000000, A.D. 1950-Jan-04 00:00:00.0000, -4.351784872885846E+09, -1.259352168742661E+09,  1.261633501564750E+08,
2433286.500000000, A.D. 1950-Jan-05 00:00:00.0000, -4.351635502203054E+09, -1.259743313356228E+09,  1.261815887804485E+08,
2433287.500000000, A.D. 1950-Jan-06 00:00:00.0000, -4.351553773370263E+09, -1.260163272257093E+09,  1.262167070333543E+08,
2433288.500000000, A.D. 1950-Jan-07 00:00:00.0000, -4.351469118009790E+09, -1.260653812357673E+09,  1.262252184060498E+08,
2433289.500000000, A.D. 1950-Jan-08 00:00:00.0000, -4.351315265427515E+09, -1.261150204101418E+09,  1.262037720936471E+08,
2433290.500000000, A.D. 1950-Jan-09 00:00:00.0000, -4.351130224239255E+09, -1.261578903937544E+09,  1.261941658239198E+08,
2433291.500000000, A.D. 1950-Jan-10 00:00:00.0000, -4.350998944322296E+09, -1.261968443816508E+09,  1.262202971057138E+08,
2433292.500000000, A.D. 1950-Jan-11 00:00:00.0000, -4.350925303819981E+09, -1.262406382178164E+09,  1.262521900248292E+08,
2433293.500000000, A.D. 1950-Jan-12 00:00:00.0000, -4.350826197910335E+09, -1.262907292838272E+09,  1.262511947434270E+08,
2433294.500000000, A.D. 1950-Jan-13 00:00:00.0000, -4.350656840293367E+09, -1.263390707996246E+09,  1.262282909912472E+08,
2433295.500000000, A.D. 1950-Jan-14 00:00:00.0000, -4.350478296081797E+09, -1.263802541413112E+09,  1.262274763140199E+08,
2433296.500000000, A.D. 1950-Jan-15 00:00:00.0000, -4.350365368082629E+09, -1.264196614236758E+09,  1.262594026524562E+08,
2433297.500000000, A.D. 1950-Jan-16 00:00:00.0000, -4.350293888185982E+09, -1.264653543951702E+09,  1.262853425543016E+08,
2433298.500000000, A.D. 1950-Jan-17 00:00:00.0000, -4.350177123222939E+09, -1.265159168991224E+09,  1.262755937753403E+08,
2433299.500000000, A.D. 1950-Jan-18 00:00:00.0000, -4.349996591649261E+09, -1.265625828462656E+09,  1.262543091804898E+08,
2433300.500000000, A.D. 1950-Jan-19 00:00:00.0000, -4.349829890095185E+09, -1.266024606609529E+09,  1.262630311737897E+08,
2433301.500000000, A.D. 1950-Jan-20 00:00:00.0000, -4.349733640359608E+09, -1.266428881032960E+09,  1.262980457349852E+08,
2433302.500000000, A.D. 1950-Jan-21 00:00:00.0000, -4.349658170589633E+09, -1.266903764251724E+09,  1.263159780677056E+08,
2433303.500000000, A.D. 1950-Jan-22 00:00:00.0000, -4.349522382533826E+09, -1.267407898897571E+09,  1.262991866204855E+08,
2433304.500000000, A.D. 1950-Jan-23 00:00:00.0000, -4.349336133593676E+09, -1.267855787877595E+09,  1.262824111512200E+08,
2433305.500000000, A.D. 1950-Jan-24 00:00:00.0000, -4.349185304895220E+09, -1.268246731274760E+09,  1.263003625455128E+08,
2433306.500000000, A.D. 1950-Jan-25 00:00:00.0000, -4.349102276296919E+09, -1.268665816805158E+09,  1.263354121317933E+08,
2433307.500000000, A.D. 1950-Jan-26 00:00:00.0000, -4.349017105096983E+09, -1.269155706268533E+09,  1.263441438662079E+08,
2433308.500000000, A.D. 1950-Jan-27 00:00:00.0000, -4.348862958119908E+09, -1.269652273680269E+09,  1.263227966731206E+08,
2433309.500000000, A.D. 1950-Jan-28 00:00:00.0000, -4.348677010390000E+09, -1.270081328525674E+09,  1.263129570195360E+08,
2433310.500000000, A.D. 1950-Jan-29 00:00:00.0000, -4.348544323909585E+09, -1.270470477044254E+09,  1.263388401171751E+08,
2433311.500000000, A.D. 1950-Jan-30 00:00:00.0000, -4.348469608388471E+09, -1.270907426927798E+09,  1.263708425820643E+08,
2433312.500000000, A.D. 1950-Jan-31 00:00:00.0000, -4.348370059716995E+09, -1.271407802403014E+09,  1.263701390375704E+08,
