JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.982763505032259E+08,  4.408161531560990E+08, -1.520824674005580E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.971787987092024E+08,  4.416156421780089E+08, -1.521699654181296E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.969191949931196E+08,  4.426911677185053E+08, -1.518698052992606E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.957930440145444E+08,  4.435824030265988E+08, -1.519250979055983E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.955451467459491E+08,  4.445598433925515E+08, -1.516593654740855E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.944116535038722E+08,  4.455460019023746E+08, -1.516756453919664E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.941545188401898E+08,  4.464243817613487E+08, -1.514502217281669E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.930350593211545E+08,  4.475042885851727E+08, -1.514223960743189E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.927478725759329E+08,  4.482876038088943E+08, -1.512411652973875E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.916629707171204E+08,  4.494552593350448E+08, -1.511661698870566E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.913259655203218E+08,  4.501518528814368E+08, -1.510310918756142E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.902942125116270E+08,  4.513968202172597E+08, -1.509079970377946E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.898900534081880E+08,  4.520185856638575E+08, -1.508191019182056E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.889276916286983E+08,  4.533266258010197E+08, -1.506490330230993E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.884422670475613E+08,  4.538894025560596E+08, -1.506041058583337E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.875617573614012E+08,  4.552431332957047E+08, -1.503902891535285E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.869845491723570E+08,  4.557654707989979E+08, -1.503852103167394E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.861943014138075E+08,  4.571453082158682E+08, -1.501326072776529E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.855186874832371E+08,  4.576473197263575E+08, -1.501617519389513E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.848226382952727E+08,  4.590320291136291E+08, -1.498770539477855E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.840472138820378E+08,  4.595347601277499E+08, -1.499331966369614E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.834446259582790E+08,  4.609030803884048E+08, -1.496242782544696E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.825724025457213E+08,  4.614277855916806E+08, -1.496990570670530E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.820579162631665E+08,  4.627591024316735E+08, -1.493746367493927E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.810961793538380E+08,  4.633259554605194E+08, -1.494589991515940E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.806597700132004E+08,  4.646012932130954E+08, -1.491283437556279E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.796202181257145E+08,  4.652278802211818E+08, -1.492130876208860E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.792482834268633E+08,  4.664308818335415E+08, -1.488854697371027E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.781464540795412E+08,  4.671322047343450E+08, -1.489613450032544E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.778221042823586E+08,  4.682499516701517E+08, -1.486456441214627E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.766761721424884E+08,  4.690373313297836E+08, -1.487040400506476E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.763801431319218E+08,  4.700610391746035E+08, -1.484082381707636E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.752100839308369E+08,  4.709412537514024E+08, -1.484416016259870E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.749215447521930E+08,  4.718662690036894E+08, -1.481727322826791E+07,
