JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.081842544460331E+08,  4.240944923629787E+08, -1.767333984579960E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.072995405008548E+08,  4.250116079993155E+08, -1.775574686638871E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.064120980482093E+08,  4.259297957738885E+08, -1.783778879875228E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.055219435629797E+08,  4.268490748957390E+08, -1.791945093361294E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.046290939993851E+08,  4.277694645815685E+08, -1.800071838397905E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.037335667765774E+08,  4.286909840388255E+08, -1.808157608693084E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.028353798039719E+08,  4.296136524711054E+08, -1.816200880048180E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.019345514804741E+08,  4.305374890618362E+08, -1.824200110502478E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.010311007047119E+08,  4.314625129731590E+08, -1.832153740149474E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.001250468882701E+08,  4.323887433367518E+08, -1.840060191188249E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.992164099646164E+08,  4.333161992411333E+08, -1.847917868032530E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.983052103972843E+08,  4.342448997232770E+08, -1.855725157304162E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.973914691899303E+08,  4.351748637599496E+08, -1.863480427865174E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.964752078961689E+08,  4.361061102551016E+08, -1.871182030964777E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.955564486272007E+08,  4.370386580279147E+08, -1.878828300347108E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.946352140592530E+08,  4.379725258050036E+08, -1.886417552243003E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.937115274438299E+08,  4.389077322113101E+08, -1.893948085435364E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.927854126188459E+08,  4.398442957551678E+08, -1.901418181508318E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.918568940157361E+08,  4.407822348164080E+08, -1.908826104975146E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.909259966679114E+08,  4.417215676391171E+08, -1.916170103294230E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.899927462299333E+08,  4.426623123025807E+08, -1.923448407648289E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.890571689669932E+08,  4.436044867246600E+08, -1.930659232577512E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.881192917862779E+08,  4.445481086333793E+08, -1.937800776716304E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.871791422144368E+08,  4.454931955607439E+08, -1.944871222714552E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.862367484349973E+08,  4.464397648266001E+08, -1.951868737695450E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.852921392793647E+08,  4.473878335225854E+08, -1.958791473522967E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.843453442403600E+08,  4.483374184989600E+08, -1.965637567082977E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.833963934826219E+08,  4.492885363434289E+08, -1.972405140903172E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.824453178457441E+08,  4.502412033615361E+08, -1.979092303660390E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.814921488500873E+08,  4.511954355613104E+08, -1.985697150531703E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.805369187045801E+08,  4.521512486358493E+08, -1.992217763676962E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.795796603115479E+08,  4.531086579427535E+08, -1.998652212856781E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.786204072700207E+08,  4.540676784857640E+08, -2.004998555940410E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.776591938820810E+08,  4.550283248989767E+08, -2.011254839330721E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.766960551607742E+08,  4.559906114260874E+08, -2.017419098666409E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.757310268338066E+08,  4.569545518937727E+08, -2.023489359796080E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.747641453446499E+08,  4.579201596925696E+08, -2.029463639384601E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.737954478575794E+08,  4.588874477603431E+08, -2.035339945453829E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.728249722567476E+08,  4.598564285369889E+08, -2.041116279318216E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.718527571459430E+08,  4.608271139830912E+08, -2.046790634398577E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.708788418556893E+08,  4.617995155158740E+08, -2.052360999178049E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.699032664330682E+08,  4.627736440233559E+08, -2.057825356105250E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.689260716557931E+08,  4.637495098104033E+08, -2.063181684345004E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.679472990200576E+08,  4.647271225905017E+08, -2.068427959832770E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.669669907441982E+08,  4.657064914570837E+08, -2.073562156608427E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.659851897637459E+08,  4.666876248539974E+08, -2.078582248237571E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.650019397230561E+08,  4.676705305538191E+08, -2.083486208767506E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.640172849717582E+08,  4.686552156354033E+08, -2.088272013761845E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.630312705608045E+08,  4.696416864577733E+08, -2.092937641608423E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.620439422340474E+08,  4.706299486344987E+08, -2.097481074824816E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.610553464199193E+08,  4.716200070098881E+08, -2.101900301260540E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.600655302259675E+08,  4.726118656328537E+08, -2.106193315489796E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.590745414294612E+08,  4.736055277265862E+08, -2.110358120566535E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.580824284598948E+08,  4.746009956605263E+08, -2.114392729702404E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.570892403853737E+08,  4.755982709306752E+08, -2.118295167371720E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.560950269056549E+08,  4.765973541365741E+08, -2.122063470657483E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.550998383214600E+08,  4.775982449444405E+08, -2.125695691760460E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.541037255439342E+08,  4.786009420878522E+08, -2.129189897595543E+07,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.531067400524527E+08,  4.796054433066679E+08, -2.132544174431923E+07,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.521089338978522E+08,  4.806117453641278E+08, -2.135756625950560E+07,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.511103596643348E+08,  4.816198439818342E+08, -2.138825378686711E+07,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.501110704549780E+08,  4.826297338419194E+08, -2.141748581559950E+07,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.491111198689915E+08,  4.836414085558443E+08, -2.144524408382279E+07,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.481105619727545E+08,  4.846548606413929E+08, -2.147151059867033E+07,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.471094512748847E+08,  4.856700815084302E+08, -2.149626764866331E+07,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.461078427028379E+08,  4.866870614378484E+08, -2.151949782186368E+07,
2447279.500092593, A.D. 1988-Apr-28 00:00:08.0000,  5.451057915753517E+08,  4.877057895577813E+08, -2.154118402775168E+07,
2447280.500092593, A.D. 1988-Apr-29 00:00:08.0000,  5.441033535712506E+08,  4.887262538249900E+08, -2.156130951620248E+07,
2447281.500092593, A.D. 1988-Apr-30 00:00:08.0000,  5.431005846980983E+08,  4.897484410079722E+08, -2.157985789574489E+07,
2447282.500092593, A.D. 1988-May-01 00:00:08.0000,  5.420975412597498E+08,  4.907723366669888E+08, -2.159681315547553E+07,
2447283.500092593, A.D. 1988-May-02 00:00:08.0000,  5.410942798191171E+08,  4.917979251372766E+08, -2.161215968620864E+07,
2447284.500092593, A.D. 1988-May-03 00:00:08.0000,  5.400908571598618E+08,  4.928251895212758E+08, -2.162588229465038E+07,
2447285.500092593, A.D. 1988-May-04 00:00:08.0000,  5.390873302569022E+08,  4.938541116768905E+08, -2.163796621872395E+07,
2447286.500092593, A.D. 1988-May-05 00:00:08.0000,  5.380837562446309E+08,  4.948846721965423E+08, -2.164839715227082E+07,
2447287.500092593, A.D. 1988-May-06 00:00:08.0000,  5.370801923582292E+08,  4.959168504124835E+08, -2.165716125679496E+07,
2447288.500092593, A.D. 1988-May-07 00:00:08.0000,  5.360766959299925E+08,  4.969506243616401E+08, -2.166424518998972E+07,
2447289.500092593, A.D. 1988-May-08 00:00:08.0000,  5.350733243055173E+08,  4.979859707974430E+08, -2.166963612490621E+07,
2447290.500092593, A.D. 1988-May-09 00:00:08.0000,  5.340701348435757E+08,  4.990228651779422E+08, -2.167332175329849E+07,
2447291.500092593, A.D. 1988-May-10 00:00:08.0000,  5.330671848361754E+08,  5.000612816596379E+08, -2.167529032491001E+07,
2447292.500092593, A.D. 1988-May-11 00:00:08.0000,  5.320645314890794E+08,  5.011011931010200E+08, -2.167553064720568E+07,
2447293.500092593, A.D. 1988-May-12 00:00:08.0000,  5.310622318713937E+08,  5.021425710574689E+08, -2.167403210976595E+07,
2447294.500092593, A.D. 1988-May-13 00:00:08.0000,  5.300603428694080E+08,  5.031853857855701E+08, -2.167078469898301E+07,
2447295.500092593, A.D. 1988-May-14 00:00:08.0000,  5.290589211482531E+08,  5.042296062472540E+08, -2.166577900947338E+07,
2447296.500092593, A.D. 1988-May-15 00:00:08.0000,  5.280580231067809E+08,  5.052752001094772E+08, -2.165900626390114E+07,
2447297.500092593, A.D. 1988-May-16 00:00:08.0000,  5.270577048269280E+08,  5.063221337482986E+08, -2.165045833290842E+07,
2447298.500092593, A.D. 1988-May-17 00:00:08.0000,  5.260580220259383E+08,  5.073703722609416E+08, -2.164012774739650E+07,
2447299.500092593, A.D. 1988-May-18 00:00:08.0000,  5.250590300115880E+08,  5.084198794792342E+08, -2.162800770873356E+07,
2447300.500092593, A.D. 1988-May-19 00:00:08.0000,  5.240607836355258E+08,  5.094706179809178E+08, -2.161409210274237E+07,
2447301.500092593, A.D. 1988-May-20 00:00:08.0000,  5.230633372460750E+08,  5.105225491050153E+08, -2.159837551151305E+07,
2447302.500092593, A.D. 1988-May-21 00:00:08.0000,  5.220667446457544E+08,  5.115756329725550E+08, -2.158085321873131E+07,
2447303.500092593, A.D. 1988-May-22 00:00:08.0000,  5.210710590485108E+08,  5.126298284991711E+08, -2.156152122258016E+07,
2447304.500092593, A.D. 1988-May-23 00:00:08.0000,  5.200763330275489E+08,  5.136850934070207E+08, -2.154037625614223E+07,
2447305.500092593, A.D. 1988-May-24 00:00:08.0000,  5.190826184709323E+08,  5.147413842746661E+08, -2.151741577359474E+07,
2447306.500092593, A.D. 1988-May-25 00:00:08.0000,  5.180899665380403E+08,  5.157986565149829E+08, -2.149263799194169E+07,
2447307.500092593, A.D. 1988-May-26 00:00:08.0000,  5.170984276067300E+08,  5.168568644600328E+08, -2.146604186222616E+07,
2447308.500092593, A.D. 1988-May-27 00:00:08.0000,  5.161080512445995E+08,  5.179159613310992E+08, -2.143762710159194E+07,
2447309.500092593, A.D. 1988-May-28 00:00:08.0000,  5.151188861523639E+08,  5.189758993199842E+08, -2.140739417649660E+07,
2447310.500092593, A.D. 1988-May-29 00:00:08.0000,  5.141309801361664E+08,  5.200366295908850E+08, -2.137534431412891E+07,
2447311.500092593, A.D. 1988-May-30 00:00:08.0000,  5.131443800600526E+08,  5.210981023189462E+08, -2.134147950705186E+07,
2447312.500092593, A.D. 1988-May-31 00:00:08.0000,  5.121591318081159E+08,  5.221602667281343E+08, -2.130580251109815E+07,
2447313.500092593, A.D. 1988-Jun-01 00:00:08.0000,  5.111752802481128E+08,  5.232230711215561E+08, -2.126831684787643E+07,
2447314.500092593, A.D. 1988-Jun-02 00:00:08.0000,  5.101928691893054E+08,  5.242864629199215E+08, -2.122902680783787E+07,
2447315.500092593, A.D. 1988-Jun-03 00:00:08.0000,  5.092119413447011E+08,  5.253503887066947E+08, -2.118793744643256E+07,
2447316.500092593, A.D. 1988-Jun-04 00:00:08.0000,  5.082325383025232E+08,  5.264147942699595E+08, -2.114505457577616E+07,
2447317.500092593, A.D. 1988-Jun-05 00:00:08.0000,  5.072547004980443E+08,  5.274796246406997E+08, -2.110038475935283E+07,
2447318.500092593, A.D. 1988-Jun-06 00:00:08.0000,  5.062784671802394E+08,  5.285448241344255E+08, -2.105393530985925E+07,
