JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.950871551794418E+08,  4.340796863797415E+08, -1.065257058454451E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.946659259798838E+08,  4.350248302079747E+08, -1.049325608030766E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.942472681124988E+08,  4.359787852978167E+08, -1.034091069417462E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.938307822924557E+08,  4.369415507561126E+08, -1.019573719858491E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.934160670038356E+08,  4.379131183797107E+08, -1.005793266577384E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.930027181862235E+08,  4.388934724905413E+08, -9.927688664237648E+06,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.925903290376269E+08,  4.398825899281375E+08, -9.805191251726061E+06,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.921784896448760E+08,  4.408804400225300E+08, -9.690621201593548E+06,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.917667867409555E+08,  4.418869844754082E+08, -9.584154035843998E+06,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.913548033644426E+08,  4.429021772077250E+08, -9.485960000973701E+06,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.909421184834791E+08,  4.439259641952712E+08, -9.396204093877643E+06,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.905283066738795E+08,  4.449582832660233E+08, -9.315046066613585E+06,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.901129378008430E+08,  4.459990638424860E+08, -9.242640349714011E+06,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.896955766504345E+08,  4.470482266373429E+08, -9.179135929493994E+06,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.892757825529381E+08,  4.481056833143025E+08, -9.124676231067419E+06,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.888531090573164E+08,  4.491713361095051E+08, -9.079398980591506E+06,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.884271036274017E+08,  4.502450773983121E+08, -9.043435973977953E+06,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.879973072952440E+08,  4.513267892052715E+08, -9.016912761867315E+06,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.875632543188304E+08,  4.524163426758096E+08, -8.999948357722133E+06,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.871244719270674E+08,  4.535135975163545E+08, -8.992654917745918E+06,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.866804800082185E+08,  4.546184013658195E+08, -8.995137142591119E+06,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.862307908943030E+08,  4.557305890941652E+08, -9.007491888504893E+06,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.857749090132883E+08,  4.568499820473133E+08, -9.029807677772850E+06,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.853123307857898E+08,  4.579763872623134E+08, -9.062163809484810E+06,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.848425444859654E+08,  4.591095966238660E+08, -9.104629976889163E+06,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.843650301361220E+08,  4.602493859235836E+08, -9.157265272169024E+06,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.838792594878501E+08,  4.613955139044173E+08, -9.220117422821850E+06,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.833846961179527E+08,  4.625477212784196E+08, -9.293221822443843E+06,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.828807955794719E+08,  4.637057296348152E+08, -9.376600385286421E+06,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.823670056265571E+08,  4.648692402742285E+08, -9.470260399213642E+06,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.818427665847652E+08,  4.660379330353838E+08, -9.574193309895366E+06,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.813075118906329E+08,  4.672114650940215E+08, -9.688373319332212E+06,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.807606687717104E+08,  4.683894696774966E+08, -9.812755842501163E+06,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.802016590685569E+08,  4.695715547251012E+08, -9.947275930189610E+06,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.796299002704310E+08,  4.707573015964537E+08, -1.009184662368396E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.790448068264647E+08,  4.719462638269933E+08, -1.024635710130349E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.784457916931977E+08,  4.731379657856503E+08, -1.041067065046740E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.778322680943441E+08,  4.743319013377972E+08, -1.058462268538582E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.772036516777810E+08,  4.755275329264238E+08, -1.076801865224007E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.765593629805213E+08,  4.767242902053315E+08, -1.096063155769426E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.758988303590195E+08,  4.779215690151926E+08, -1.116219986617017E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.752214931812216E+08,  4.791187309071042E+08, -1.137242467546049E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.745268053920099E+08,  4.803151020069271E+08, -1.159096793575999E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.738142397042954E+08,  4.815099730609028E+08, -1.181744972917750E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.730832921695185E+08,  4.827025992139503E+08, -1.205144603351998E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.723334870614407E+08,  4.838922003931237E+08, -1.229248663372350E+07,
