JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.683444529798762E+08,  9.960777588739060E+08, -5.471221533654517E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.678243175628474E+08,  9.966359540184710E+08, -5.470385848737293E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.673033587690631E+08,  9.971931959305098E+08, -5.469549937715286E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.667815763346521E+08,  9.977494905550388E+08, -5.468713758046323E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.662589700370922E+08,  9.983048437696772E+08, -5.467877267814428E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.657355396937982E+08,  9.988592613853991E+08, -5.467040425718248E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.652112851616883E+08,  9.994127491481347E+08, -5.466203191067898E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.646862063379539E+08,  9.999653127385107E+08, -5.465365523790109E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.641603031568205E+08,  1.000516957771929E+09, -5.464527384398991E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.636335755882035E+08,  1.001067689800226E+09, -5.463688733984381E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.631060236368232E+08,  1.001617514312361E+09, -5.462849534203517E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.625776473413186E+08,  1.002166436735099E+09, -5.462009747272849E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.620484467733604E+08,  1.002714462433700E+09, -5.461169335959816E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.615184220367658E+08,  1.003261596712598E+09, -5.460328263574570E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.609875732666104E+08,  1.003807844816089E+09, -5.459486493961823E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.604559006283414E+08,  1.004353211929014E+09, -5.458643991492581E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.599234043168908E+08,  1.004897703177438E+09, -5.457800721055949E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.593900845557874E+08,  1.005441323629339E+09, -5.456956648050898E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.588559415962697E+08,  1.005984078295283E+09, -5.456111738378054E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.583209757163981E+08,  1.006525972129111E+09, -5.455265958431536E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.577851872201663E+08,  1.007067010028615E+09, -5.454419275090677E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.572485764366143E+08,  1.007607196836225E+09, -5.453571655711907E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.567111437189393E+08,  1.008146537339680E+09, -5.452723068120486E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.561728894436086E+08,  1.008685036272718E+09, -5.451873480602348E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.556338140108755E+08,  1.009222698315854E+09, -5.451022861868358E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.550939178445572E+08,  1.009759528096473E+09, -5.450171181084478E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.545532013892478E+08,  1.010295530189591E+09, -5.449318407883692E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.540116651102496E+08,  1.010830709118784E+09, -5.448464512325901E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.534693094930228E+08,  1.011365069356760E+09, -5.447609464892018E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.529261350426358E+08,  1.011898615325938E+09, -5.446753236478025E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.523821422832150E+08,  1.012431351399016E+09, -5.445895798389000E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.518373317573957E+08,  1.012963281899551E+09, -5.445037122333252E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.512917040257720E+08,  1.013494411102523E+09, -5.444177180416304E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.507452596663479E+08,  1.014024743234911E+09, -5.443315945135111E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.501979992739900E+08,  1.014554282476256E+09, -5.442453389372087E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.496499234598786E+08,  1.015083032959235E+09, -5.441589486389327E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.491010328509629E+08,  1.015610998770216E+09, -5.440724209822732E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.485513280894156E+08,  1.016138183949830E+09, -5.439857533676231E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.480008098320907E+08,  1.016664592493527E+09, -5.438989432316029E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.474494787499843E+08,  1.017190228352135E+09, -5.438119880464894E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.468973355276968E+08,  1.017715095432417E+09, -5.437248853196460E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.463443808629024E+08,  1.018239197597626E+09, -5.436376325929666E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.457906154660248E+08,  1.018762538667251E+09, -5.435502274431241E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.452360400608190E+08,  1.019285122417762E+09, -5.434626674805683E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.446806553832830E+08,  1.019806952584094E+09, -5.433749503480929E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.441244621809707E+08,  1.020328032859563E+09, -5.432870737210542E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.435674612127113E+08,  1.020848366896309E+09, -5.431990353069705E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.430096532483408E+08,  1.021367958305746E+09, -5.431108328451389E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.424510390684431E+08,  1.021886810659021E+09, -5.430224641062391E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.418916194641035E+08,  1.022404927487487E+09, -5.429339268919510E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.413313952366724E+08,  1.022922312283182E+09, -5.428452190345675E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.407703671975383E+08,  1.023438968499333E+09, -5.427563383965892E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  9.402085361679044E+08,  1.023954899550890E+09, -5.426672828703290E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  9.396459029785655E+08,  1.024470108815077E+09, -5.425780503774583E+07,
2440851.500266204, A.D. 1970-Sep-22 00:00:23.0000,  9.390824684696771E+08,  1.024984599631976E+09, -5.424886388685548E+07,
2440852.500266204, A.D. 1970-Sep-23 00:00:23.0000,  9.385182334905072E+08,  1.025498375305150E+09, -5.423990463225889E+07,
2440853.500266204, A.D. 1970-Sep-24 00:00:23.0000,  9.379531988991609E+08,  1.026011439102288E+09, -5.423092707463646E+07,
2440854.500266204, A.D. 1970-Sep-25 00:00:23.0000,  9.373873655622674E+08,  1.026523794255868E+09, -5.422193101739162E+07,
2440855.500266204, A.D. 1970-Sep-26 00:00:23.0000,  9.368207343546216E+08,  1.027035443963848E+09, -5.421291626658428E+07,
2440856.500266204, A.D. 1970-Sep-27 00:00:23.0000,  9.362533061587731E+08,  1.027546391390339E+09, -5.420388263085979E+07,
2440857.500266204, A.D. 1970-Sep-28 00:00:23.0000,  9.356850818644538E+08,  1.028056639666293E+09, -5.419482992159688E+07,
2440858.500266204, A.D. 1970-Sep-29 00:00:23.0000,  9.351160623689460E+08,  1.028566191889509E+09, -5.418575795265162E+07,
2440859.500266204, A.D. 1970-Sep-30 00:00:23.0000,  9.345462485763869E+08,  1.029075051125391E+09, -5.417666654007512E+07,
2440860.500266204, A.D. 1970-Oct-01 00:00:23.0000,  9.339756413968525E+08,  1.029583220407678E+09, -5.416755550226182E+07,
2440861.500266204, A.D. 1970-Oct-02 00:00:23.0000,  9.334042417459092E+08,  1.030090702738806E+09, -5.415842465989256E+07,
2440862.500266204, A.D. 1970-Oct-03 00:00:23.0000,  9.328320505441799E+08,  1.030597501090219E+09, -5.414927383588338E+07,
2440863.500266204, A.D. 1970-Oct-04 00:00:23.0000,  9.322590687169408E+08,  1.031103618402623E+09, -5.414010285534173E+07,
2440864.500266204, A.D. 1970-Oct-05 00:00:23.0000,  9.316852971937572E+08,  1.031609057586206E+09, -5.413091154552931E+07,
2440865.500266204, A.D. 1970-Oct-06 00:00:23.0000,  9.311107369081641E+08,  1.032113821520841E+09, -5.412169973583049E+07,
2440866.500266204, A.D. 1970-Oct-07 00:00:23.0000,  9.305353887973984E+08,  1.032617913056269E+09, -5.411246725772631E+07,
2440867.500266204, A.D. 1970-Oct-08 00:00:23.0000,  9.299592538021703E+08,  1.033121335012300E+09, -5.410321394477171E+07,
2440868.500266204, A.D. 1970-Oct-09 00:00:23.0000,  9.293823328664728E+08,  1.033624090179023E+09, -5.409393963257498E+07,
2440869.500266204, A.D. 1970-Oct-10 00:00:23.0000,  9.288046269374206E+08,  1.034126181317033E+09, -5.408464415877819E+07,
2440870.500266204, A.D. 1970-Oct-11 00:00:23.0000,  9.282261369651082E+08,  1.034627611157691E+09, -5.407532736303753E+07,
2440871.500266204, A.D. 1970-Oct-12 00:00:23.0000,  9.276468639024794E+08,  1.035128382403405E+09, -5.406598908700234E+07,
2440872.500266204, A.D. 1970-Oct-13 00:00:23.0000,  9.270668087052046E+08,  1.035628497727929E+09, -5.405662917429340E+07,
2440873.500266204, A.D. 1970-Oct-14 00:00:23.0000,  9.264859723315567E+08,  1.036127959776696E+09, -5.404724747047883E+07,
2440874.500266204, A.D. 1970-Oct-15 00:00:23.0000,  9.259043557422842E+08,  1.036626771167154E+09, -5.403784382304907E+07,
2440875.500266204, A.D. 1970-Oct-16 00:00:23.0000,  9.253219599010719E+08,  1.037124934489340E+09, -5.402841808130962E+07,
2440876.500266204, A.D. 1970-Oct-17 00:00:23.0000,  9.247387857742516E+08,  1.037622452305558E+09, -5.401897009648329E+07,
2440877.500266204, A.D. 1970-Oct-18 00:00:23.0000,  9.241548343299663E+08,  1.038119327150732E+09, -5.400949972174686E+07,
2440878.500266204, A.D. 1970-Oct-19 00:00:23.0000,  9.235701065384912E+08,  1.038615561533156E+09, -5.400000681210864E+07,
2440879.500266204, A.D. 1970-Oct-20 00:00:23.0000,  9.229846033721454E+08,  1.039111157934804E+09, -5.399049122438681E+07,
2440880.500266204, A.D. 1970-Oct-21 00:00:23.0000,  9.223983258051989E+08,  1.039606118811646E+09, -5.398095281718624E+07,
2440881.500266204, A.D. 1970-Oct-22 00:00:23.0000,  9.218112748137729E+08,  1.040100446593961E+09, -5.397139145087540E+07,
