JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.918442825454168E+08,  4.194858990825564E+08, -2.668896404112940E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.910137363209149E+08,  4.205309744789391E+08, -2.661875853823945E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.901820498944795E+08,  4.215762601054497E+08, -2.654778241032276E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.893492368633507E+08,  4.226217574138196E+08, -2.647603425998925E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.885153110001533E+08,  4.236674678573170E+08, -2.640351271164712E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.876802862587144E+08,  4.247133928963189E+08, -2.633021640590501E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.868441767760608E+08,  4.257595339903795E+08, -2.625614400674900E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.860069968759145E+08,  4.268058926011148E+08, -2.618129419880159E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.851687610725349E+08,  4.278524701889694E+08, -2.610566568987629E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.843294840729166E+08,  4.288992682108394E+08, -2.602925721327993E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.834891807794207E+08,  4.299462881193537E+08, -2.595206752848834E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.826478662932853E+08,  4.309935313612197E+08, -2.587409542237157E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.818055559177516E+08,  4.320409993750014E+08, -2.579533971106088E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.809622651607205E+08,  4.330886935897117E+08, -2.571579924124575E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.801180097381250E+08,  4.341366154237078E+08, -2.563547289093912E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.792728055781300E+08,  4.351847662824947E+08, -2.555435957090580E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.784266688245795E+08,  4.362331475557573E+08, -2.547245822701123E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.775796158393537E+08,  4.372817606152238E+08, -2.538976784220973E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.767316632061737E+08,  4.383306068129304E+08, -2.530628743770283E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.758828277349814E+08,  4.393796874778936E+08, -2.522201607525676E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.750331264605801E+08,  4.404290039140155E+08, -2.513695286031380E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.741825766530991E+08,  4.414785573995266E+08, -2.505109694014052E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.733311958141428E+08,  4.425283491803635E+08, -2.496444751105344E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.724790016882750E+08,  4.435783804748940E+08, -2.487700381228063E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.716260122600434E+08,  4.446286524625818E+08, -2.478876513667130E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.707722457611935E+08,  4.456791662863086E+08, -2.469973082761240E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.699177206736431E+08,  4.467299230467783E+08, -2.460990028339630E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.690624557315202E+08,  4.477809237991800E+08, -2.451927296024555E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.682064699251128E+08,  4.488321695515398E+08, -2.442784837332824E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.673497825051298E+08,  4.498836612611396E+08, -2.433562609907863E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.664924129861628E+08,  4.509353998304002E+08, -2.424260577823865E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.656343811502515E+08,  4.519873861039526E+08, -2.414878711798632E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.647757070513111E+08,  4.530396208653526E+08, -2.405416989395523E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.639164110193961E+08,  4.540921048318841E+08, -2.395875395368904E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.630565136634914E+08,  4.551448386493833E+08, -2.386253922064885E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.621960358739772E+08,  4.561978228892429E+08, -2.376552569675484E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.613349988273255E+08,  4.572510580446054E+08, -2.366771346461329E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.604734239905201E+08,  4.583045445240945E+08, -2.356910269158480E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.596113331204458E+08,  4.593582826518329E+08, -2.346969363125822E+07,
