JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.197144064937037E+09, -2.016134827715698E+09, -3.581862291345894E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.197796767098244E+09, -2.015761079607336E+09, -3.565997471134055E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.198485687105801E+09, -2.015425012024483E+09, -3.571282168666971E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.199062557716296E+09, -2.015091058195864E+09, -3.595303292903876E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.199435057196101E+09, -2.014722445945155E+09, -3.626206564075625E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.199613713691645E+09, -2.014299854885719E+09, -3.648701389367723E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.199705818894806E+09, -2.013831012611368E+09, -3.651787077809906E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.199860844726016E+09, -2.013346510994659E+09, -3.634170657011700E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.200196470805394E+09, -2.012884507576065E+09, -3.604794239638448E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.200741104603780E+09, -2.012472009944477E+09, -3.578412241438603E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.201419478311179E+09, -2.012111534529522E+09, -3.568359844734645E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.202088920983725E+09, -2.011779575029163E+09, -3.579900974721384E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.202610402779490E+09, -2.011438121775598E+09, -3.607475582275164E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.202919105308371E+09, -2.011053841348181E+09, -3.637441353593433E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.203057169619200E+09, -2.010614960395509E+09, -3.654996526800752E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.203151547327008E+09, -2.010136975360845E+09, -3.651621055381525E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.203350033973275E+09, -2.009654638572806E+09, -3.629223898493934E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.203748477088319E+09, -2.009204708852064E+09, -3.599108508653152E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.204343846104880E+09, -2.008807920906084E+09, -3.576415419205356E+07,
2420974.500370370, A.D. 1916-Apr-21 00:00:32.0000,  2.205035060397161E+09, -2.008458633993987E+09, -3.572668769894767E+07,
2420975.500370370, A.D. 1916-Apr-22 00:00:32.0000,  2.205672392327456E+09, -2.008127344513299E+09, -3.589970913198793E+07,
2420976.500370370, A.D. 1916-Apr-23 00:00:32.0000,  2.206132661468638E+09, -2.007775366153243E+09, -3.619850117083716E+07,
