JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.188196505726348E+09, -2.014906985461934E+09, -3.527249813249815E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.188612175916886E+09, -2.014441191876555E+09, -3.526343990563357E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.189028244720286E+09, -2.013975395701953E+09, -3.525442303043342E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.189444712898494E+09, -2.013509600317270E+09, -3.524544834308457E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.189861581200668E+09, -2.013043809128015E+09, -3.523651668526077E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.190278850357067E+09, -2.012578025564437E+09, -3.522762890342438E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.190696521081067E+09, -2.012112253080789E+09, -3.521878584878373E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.191114594072033E+09, -2.011646495157282E+09, -3.520998837787771E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.191533070014900E+09, -2.011180755300295E+09, -3.520123735260487E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.191951949579750E+09, -2.010715037042581E+09, -3.519253364024651E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.192371233421410E+09, -2.010249343943464E+09, -3.518387811349404E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.192790922179067E+09, -2.009783679589016E+09, -3.517527165047467E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.193211016475873E+09, -2.009318047592219E+09, -3.516671513477623E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.193631516918573E+09, -2.008852451593098E+09, -3.515820945546985E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.194052424097126E+09, -2.008386895258832E+09, -3.514975550713241E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.194473738584309E+09, -2.007921382283828E+09, -3.514135418986320E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.194895460935318E+09, -2.007455916389770E+09, -3.513300640929735E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.195317591687337E+09, -2.006990501325633E+09, -3.512471307661593E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.195740131359057E+09, -2.006525140867685E+09, -3.511647510854816E+07,
2420974.500370370, A.D. 1916-Apr-21 00:00:32.0000,  2.196163080450168E+09, -2.006059838819462E+09, -3.510829342736983E+07,
2420975.500370370, A.D. 1916-Apr-22 00:00:32.0000,  2.196586439440786E+09, -2.005594599011763E+09, -3.510016896089733E+07,
2420976.500370370, A.D. 1916-Apr-23 00:00:32.0000,  2.197010208790832E+09, -2.005129425302647E+09, -3.509210264247823E+07,
