JDTDB,Calendar Date (TDB),X,Y,Z,
2433282.500000000, A.D. 1950-Jan-01 00:00:00.0000, -4.351920597656412E+09, -1.258071411978489E+09,  1.259647325585149E+08,
2433283.500000000, A.D. 1950-Jan-02 00:00:00.0000, -4.352111895475147E+09, -1.258685490764286E+09,  1.259436002842755E+08,
2433284.500000000, A.D. 1950-Jan-03 00:00:00.0000, -4.352255106156347E+09, -1.259023719619035E+09,  1.261616608265092E+08,
2433285.500000000, A.D. 1950-Jan-04 00:00:00.0000, -4.352068221159483E+09, -1.259199748238364E+09,  1.263990275411527E+08,
2433286.500000000, A.D. 1950-Jan-05 00:00:00.0000, -4.351611908521283E+09, -1.259495619618221E+09,  1.264157597508454E+08,
2433287.500000000, A.D. 1950-Jan-06 00:00:00.0000, -4.351226525526379E+09, -1.260068933208071E+09,  1.262009962078139E+08,
2433288.500000000, A.D. 1950-Jan-07 00:00:00.0000, -4.351178731978114E+09, -1.260789223279671E+09,  1.259842270236872E+08,
2433289.500000000, A.D. 1950-Jan-08 00:00:00.0000, -4.351384639892807E+09, -1.261373416904427E+09,  1.259970232602205E+08,
2433290.500000000, A.D. 1950-Jan-09 00:00:00.0000, -4.351496914044267E+09, -1.261679724732660E+09,  1.262326096730283E+08,
2433291.500000000, A.D. 1950-Jan-10 00:00:00.0000, -4.351265382139027E+09, -1.261854849854563E+09,  1.264528938519100E+08,
2433292.500000000, A.D. 1950-Jan-11 00:00:00.0000, -4.350796785271287E+09, -1.262181685166079E+09,  1.264356629488684E+08,
2433293.500000000, A.D. 1950-Jan-12 00:00:00.0000, -4.350443950950774E+09, -1.262785593162323E+09,  1.262053104216859E+08,
2433294.500000000, A.D. 1950-Jan-13 00:00:00.0000, -4.350439462067923E+09, -1.263504256033463E+09,  1.260075032784691E+08,
2433295.500000000, A.D. 1950-Jan-14 00:00:00.0000, -4.350654187203570E+09, -1.264056202054790E+09,  1.260541169471075E+08,
2433296.500000000, A.D. 1950-Jan-15 00:00:00.0000, -4.350731353603273E+09, -1.264333033201428E+09,  1.263032570903553E+08,
2433297.500000000, A.D. 1950-Jan-16 00:00:00.0000, -4.350456955805646E+09, -1.264511968401895E+09,  1.265027494489185E+08,
2433298.500000000, A.D. 1950-Jan-17 00:00:00.0000, -4.349981958303288E+09, -1.264871856301166E+09,  1.264519604547106E+08,
2433299.500000000, A.D. 1950-Jan-18 00:00:00.0000, -4.349665549587712E+09, -1.265503654002156E+09,  1.262101175260618E+08,
2433300.500000000, A.D. 1950-Jan-19 00:00:00.0000, -4.349702210126410E+09, -1.266215999590051E+09,  1.260348091856775E+08,
2433301.500000000, A.D. 1950-Jan-20 00:00:00.0000, -4.349919802360718E+09, -1.266733891670223E+09,  1.261145431716039E+08,
2433302.500000000, A.D. 1950-Jan-21 00:00:00.0000, -4.349958292989057E+09, -1.266984198675906E+09,  1.263730296798757E+08,
2433303.500000000, A.D. 1950-Jan-22 00:00:00.0000, -4.349643547741691E+09, -1.267171589873692E+09,  1.265483808442045E+08,
2433304.500000000, A.D. 1950-Jan-23 00:00:00.0000, -4.349168139118151E+09, -1.267566045489615E+09,  1.264650201157410E+08,
2433305.500000000, A.D. 1950-Jan-24 00:00:00.0000, -4.348891397521923E+09, -1.268222544018892E+09,  1.262159845794195E+08,
2433306.500000000, A.D. 1950-Jan-25 00:00:00.0000, -4.348966335272094E+09, -1.268923989834984E+09,  1.260663220880103E+08,
2433307.500000000, A.D. 1950-Jan-26 00:00:00.0000, -4.349180790451728E+09, -1.269406609043270E+09,  1.261779052954292E+08,
2433308.500000000, A.D. 1950-Jan-27 00:00:00.0000, -4.349177702438269E+09, -1.269633801671245E+09,  1.264413684662800E+08,
2433309.500000000, A.D. 1950-Jan-28 00:00:00.0000, -4.348825822129182E+09, -1.269834146874810E+09,  1.265896470362216E+08,
2433310.500000000, A.D. 1950-Jan-29 00:00:00.0000, -4.348355994233226E+09, -1.270264085754593E+09,  1.264752652035984E+08,
2433311.500000000, A.D. 1950-Jan-30 00:00:00.0000, -4.348121469837153E+09, -1.270941667383868E+09,  1.262234596094118E+08,
2433312.500000000, A.D. 1950-Jan-31 00:00:00.0000, -4.348231145424295E+09, -1.271627817968919E+09,  1.261021457403288E+08,
2433313.500000000, A.D. 1950-Feb-01 00:00:00.0000, -4.348436509323191E+09, -1.272074554024560E+09,  1.262437550653039E+08,
2433314.500000000, A.D. 1950-Feb-02 00:00:00.0000, -4.348389655179804E+09, -1.272282440425288E+09,  1.265077385455421E+08,
2433315.500000000, A.D. 1950-Feb-03 00:00:00.0000, -4.348004490452648E+09, -1.272500012042089E+09,  1.266264818990502E+08,
2433316.500000000, A.D. 1950-Feb-04 00:00:00.0000, -4.347546133675153E+09, -1.272965734429049E+09,  1.264831670144021E+08,
2433317.500000000, A.D. 1950-Feb-05 00:00:00.0000, -4.347355640929738E+09, -1.273660415247922E+09,  1.262330620382547E+08,
2433318.500000000, A.D. 1950-Feb-06 00:00:00.0000, -4.347495909044210E+09, -1.274327138274652E+09,  1.261423084270199E+08,
2433319.500000000, A.D. 1950-Feb-07 00:00:00.0000, -4.347686380364484E+09, -1.274738000154068E+09,  1.263116002942203E+08,
2433320.500000000, A.D. 1950-Feb-08 00:00:00.0000, -4.347594325772164E+09, -1.274930721020812E+09,  1.265716382791771E+08,
2433321.500000000, A.D. 1950-Feb-09 00:00:00.0000, -4.347180298754364E+09, -1.275169491959906E+09,  1.266588952609318E+08,
2433322.500000000, A.D. 1950-Feb-10 00:00:00.0000, -4.346739099988946E+09, -1.275670677610276E+09,  1.264892366439499E+08,
2433323.500000000, A.D. 1950-Feb-11 00:00:00.0000, -4.346593686265487E+09, -1.276378176438821E+09,  1.262452736270639E+08,
2433324.500000000, A.D. 1950-Feb-12 00:00:00.0000, -4.346759867403831E+09, -1.277021674182254E+09,  1.261867624225395E+08,
