JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.197652272149890E+09, -2.016254146930168E+09, -3.588131261006391E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.198069487808254E+09, -2.015903032760700E+09, -3.624600026059949E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.198108427603611E+09, -2.015426590904017E+09, -3.630480983590996E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.198436380301567E+09, -2.014955456874487E+09, -3.595475879492629E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.199177439060572E+09, -2.014610397130162E+09, -3.586282561375415E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.199671394593586E+09, -2.014273475295507E+09, -3.621136116330838E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.199727688009190E+09, -2.013811261796337E+09, -3.634612917710590E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.199981005111175E+09, -2.013327191967629E+09, -3.602111982084954E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.200694911746005E+09, -2.012965627867755E+09, -3.585540298161161E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.201260972875314E+09, -2.012639570673675E+09, -3.617128514800048E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.201350628844351E+09, -2.012194227649708E+09, -3.637603813022816E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.201535938402520E+09, -2.011700841244052E+09, -3.609155673038483E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.202207493365434E+09, -2.011320621739640E+09, -3.586026545944011E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.202837277571542E+09, -2.011001496737767E+09, -3.612848853787839E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.202974690633533E+09, -2.010574812715600E+09, -3.639368052915549E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.203101827268676E+09, -2.010076158862160E+09, -3.616331199665260E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.203717585569834E+09, -2.009675948123327E+09, -3.587773935749185E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.204399833653629E+09, -2.009359495955783E+09, -3.608542331405890E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.204597145257956E+09, -2.008952397781744E+09, -3.639886360043490E+07,
2420974.500370370, A.D. 1916-Apr-21 00:00:32.0000,  2.204678581366611E+09, -2.008452710989814E+09, -3.623343078281200E+07,
2420975.500370370, A.D. 1916-Apr-22 00:00:32.0000,  2.205228126663352E+09, -2.008032212561649E+09, -3.590757749931490E+07,
2420976.500370370, A.D. 1916-Apr-23 00:00:32.0000,  2.205948734020002E+09, -2.007713993261647E+09, -3.604495778817892E+07,
2420977.500370370, A.D. 1916-Apr-24 00:00:32.0000,  2.206215352257233E+09, -2.007326463129699E+09, -3.639196647604489E+07,
2420978.500370370, A.D. 1916-Apr-25 00:00:32.0000,  2.206265777411303E+09, -2.006830082492560E+09, -3.629960666197419E+07,
2420979.500370370, A.D. 1916-Apr-26 00:00:32.0000,  2.206741614309645E+09, -2.006389875195966E+09, -3.594918094009101E+07,
2420980.500370370, A.D. 1916-Apr-27 00:00:32.0000,  2.207484935514689E+09, -2.006065586094883E+09, -3.600985374230576E+07,
2420981.500370370, A.D. 1916-Apr-28 00:00:32.0000,  2.207826859690320E+09, -2.005696639299641E+09, -3.637414590673339E+07,
2420982.500370370, A.D. 1916-Apr-29 00:00:32.0000,  2.207862325618014E+09, -2.005207674973238E+09, -3.635926224822569E+07,
2420983.500370370, A.D. 1916-Apr-30 00:00:32.0000,  2.208260636267063E+09, -2.004749299353524E+09, -3.600112465426707E+07,
2420984.500370370, A.D. 1916-May-01 00:00:32.0000,  2.209009590992413E+09, -2.004414835389132E+09, -3.598231206269062E+07,
2420985.500370370, A.D. 1916-May-02 00:00:32.0000,  2.209429418736551E+09, -2.004062614545504E+09, -3.634665909726965E+07,
2420986.500370370, A.D. 1916-May-03 00:00:32.0000,  2.209466647468444E+09, -2.003584843469582E+09, -3.641024851700544E+07,
2420987.500370370, A.D. 1916-May-04 00:00:32.0000,  2.209787227765954E+09, -2.003110660198422E+09, -3.606150320285141E+07,
2420988.500370370, A.D. 1916-May-05 00:00:32.0000,  2.210524665411633E+09, -2.002762461920220E+09, -3.596441580690694E+07,
2420989.500370370, A.D. 1916-May-06 00:00:32.0000,  2.211021057728257E+09, -2.002424246251593E+09, -3.631153677518356E+07,
2420990.500370370, A.D. 1916-May-07 00:00:32.0000,  2.211076696779571E+09, -2.001960900640241E+09, -3.645083636162674E+07,
2420991.500370370, A.D. 1916-May-08 00:00:32.0000,  2.211322960428450E+09, -2.001473996224727E+09, -3.612815414067435E+07,
2420992.500370370, A.D. 1916-May-09 00:00:32.0000,  2.212032226610456E+09, -2.001109134191737E+09, -3.595771648010373E+07,
2420993.500370370, A.D. 1916-May-10 00:00:32.0000,  2.212600215455696E+09, -2.000781536105652E+09, -3.627120141150939E+07,
2420994.500370370, A.D. 1916-May-11 00:00:32.0000,  2.212690148526639E+09, -2.000335173108328E+09, -3.647982956003082E+07,
2420995.500370370, A.D. 1916-May-12 00:00:32.0000,  2.212869043542305E+09, -1.999839227337678E+09, -3.619863386251581E+07,
2420996.500370370, A.D. 1916-May-13 00:00:32.0000,  2.213534931526822E+09, -1.999455571322309E+09, -3.596321524478209E+07,
2420997.500370370, A.D. 1916-May-14 00:00:32.0000,  2.214166142736102E+09, -1.999134664565277E+09, -3.622809172512329E+07,
2420998.500370370, A.D. 1916-May-15 00:00:32.0000,  2.214304608059573E+09, -1.998707046974795E+09, -3.649656056148398E+07,
