JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.870810768755342E+08,  9.804153361455300E+08, -5.486844009118533E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.864449692848222E+08,  9.809177438008738E+08, -5.486119337570155E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.858082005640905E+08,  9.814197974682710E+08, -5.485392952245873E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.851707710164562E+08,  9.819214976459695E+08, -5.484664844786739E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.845326809450928E+08,  9.824228448304226E+08, -5.483935006845576E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.838939306532366E+08,  9.829238395163026E+08, -5.483203430087036E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.832545204440856E+08,  9.834244821972533E+08, -5.482470106176960E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.826144506208280E+08,  9.839247733652813E+08, -5.481735026790744E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.819737214867367E+08,  9.844247135101748E+08, -5.480998183622801E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.813323333450855E+08,  9.849243031202638E+08, -5.480259568376380E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.806902864991540E+08,  9.854235426824284E+08, -5.479519172763568E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.800475812522284E+08,  9.859224326821028E+08, -5.478776988505191E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.794042179076037E+08,  9.864209736032825E+08, -5.478033007330793E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.787601967685866E+08,  9.869191659285263E+08, -5.477287220978606E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.781155181384954E+08,  9.874170101389637E+08, -5.476539621195525E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.774701823206623E+08,  9.879145067142957E+08, -5.475790199737054E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.768241896184340E+08,  9.884116561327996E+08, -5.475038948367280E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.761775403351728E+08,  9.889084588713303E+08, -5.474285858858860E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.755302347742575E+08,  9.894049154053235E+08, -5.473530922992969E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.748822732390839E+08,  9.899010262087975E+08, -5.472774132559335E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.742336560330648E+08,  9.903967917543523E+08, -5.472015479356182E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.735843834596313E+08,  9.908922125131735E+08, -5.471254955190206E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.729344558222315E+08,  9.913872889550304E+08, -5.470492551876605E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.722838734243326E+08,  9.918820215482767E+08, -5.469728261239058E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.716326365691358E+08,  9.923764107605966E+08, -5.468962075099766E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.709807455597881E+08,  9.928704570584097E+08, -5.468193985288703E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.703282006996520E+08,  9.933641609062624E+08, -5.467423983651859E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.696750022920420E+08,  9.938575227675683E+08, -5.466652062040859E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.690211506402249E+08,  9.943505431046040E+08, -5.465878212313086E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.683666460474191E+08,  9.948432223785049E+08, -5.465102426331699E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.677114888167936E+08,  9.953355610492594E+08, -5.464324695965648E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.670556792514697E+08,  9.958275595757024E+08, -5.463545013089746E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.663992176545197E+08,  9.963192184155076E+08, -5.462763369584715E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.657421043289678E+08,  9.968105380251774E+08, -5.461979757337314E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.650843395777924E+08,  9.973015188600323E+08, -5.461194168240374E+07,
