JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.563649699685088E+08,  9.808659123301575E+08, -5.518207892554003E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.557227178726844E+08,  9.814461699371622E+08, -5.516675264163512E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.550800579196938E+08,  9.820260695289537E+08, -5.515141060512054E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.544369920413338E+08,  9.826055916337097E+08, -5.513604308098274E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.537935233043046E+08,  9.831847308284528E+08, -5.512064767823756E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.531496522215197E+08,  9.837634724772259E+08, -5.510521699844325E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.525053911097765E+08,  9.843418005088580E+08, -5.508974397326940E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.518607629705769E+08,  9.849197088953912E+08, -5.507422787471020E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.512157843297373E+08,  9.854971990657791E+08, -5.505867114840740E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.505704766991098E+08,  9.860742809958887E+08, -5.504308112615460E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.499248422334446E+08,  9.866509698490372E+08, -5.502746596761853E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.492788866445854E+08,  9.872272748290062E+08, -5.501183104392499E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.486326118458034E+08,  9.878032125864058E+08, -5.499618531266087E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.479860058567873E+08,  9.883788025399783E+08, -5.498053776210886E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.473390494521090E+08,  9.889540486153364E+08, -5.496488865995842E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.466917276527672E+08,  9.895289551091893E+08, -5.494923886149955E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.460440235628080E+08,  9.901035135710071E+08, -5.493358252576125E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.453959320326424E+08,  9.906777185523268E+08, -5.491791641999054E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.447474413773099E+08,  9.912515641362840E+08, -5.490223653506333E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.440985399555403E+08,  9.918250352162333E+08, -5.488653397191781E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.434492355720897E+08,  9.923981108239884E+08, -5.487079878549695E+07,
