id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class,horizons,begin_time,end_time
a0017415,2017415,174151988RO10,17415,,N,N,17.665,,4.899329262959534,4266.772833381495,TJN,DES=+2017415,1997-01-29-07-21-48,2000-01-01-00-00-00
a0017416,2017416,174161988RR10,17416,,N,N,18.407,,4.809384156653622,4232.179091768788,TJN,DES=+2017416,1997-02-06-22-55-33,2000-01-01-00-00-00
a0017418,2017418,174181988RT12,17418,,N,N,15.806,,4.357768658868934,4315.640312234912,TJN,DES=+2017418,1997-01-17-02-09-31,2000-01-01-00-00-00
a0017420,2017420,174201988RL13,17420,,N,N,18.361,,4.770916675282204,4334.3732057794705,TJN,DES=+2017420,1997-01-12-09-45-40,2000-01-01-00-00-00
a0017423,2017423,174231988SK2,17423,,N,N,14.885,,4.723650764563642,4351.423383554603,TJN,DES=+2017423,1997-01-08-03-27-36,2000-01-01-00-00-00
a0017424,2017424,174241988SP2,17424,,N,N,17.964000000000006,,4.384471441748574,4333.841346127809,TJN,DES=+2017424,1997-01-12-12-57-08,2000-01-01-00-00-00
a0018281,2018281,18281Tros4317T3,18281,Tros,N,N,13.975999999999999,,4.670110264302314,4333.048505000852,TJN,DES=+2018281,1997-01-12-17-42-34,2000-01-01-00-00-00
a0018282,2018282,18282Ilos4369T3,18282,Ilos,N,N,15.422,,4.836080527194691,4368.895209797827,TJN,DES=+2018282,1997-01-03-18-37-45,2000-01-01-00-00-00
a0023549,2023549,23549Epicles1994ES6,23549,Epicles,N,N,17.505,,5.022828038907567,4407.124536330623,TJN,DES=+2023549,1996-12-25-05-15-12,2000-01-01-00-00-00
a0024452,2024452,244522000QU167,24452,,N,N,18.689,,4.864515377860849,4309.726458839257,TJN,DES=+2024452,1997-01-18-13-38-30,2000-01-01-00-00-00
a0029196,2029196,29196Dius1990YY,29196,Dius,N,N,16.129,,4.982167687722744,4401.785567487055,TJN,DES=+2029196,1996-12-26-13-17-13,2000-01-01-00-00-00
a0030508,2030508,305082000SZ130,30508,,N,N,16.258,,4.873676883665134,4214.099659070457,TJN,DES=+2030508,1997-02-11-11-24-09,2000-01-01-00-00-00
a0030698,2030698,30698Hippokoon2299T3,30698,Hippokoon,N,N,18.293,,4.848302749488662,4307.417706468919,TJN,DES=+2030698,1997-01-19-03-29-39,2000-01-01-00-00-00
a0030792,2030792,307921988RP12,30792,,N,N,18.407,,5.037603677527712,4361.133726888282,TJN,DES=+2030792,1997-01-05-17-11-53,2000-01-01-00-00-00
a0030793,2030793,307931988SJ3,30793,,N,N,19.257,,4.927804845523542,4379.92241790041,TJN,DES=+2030793,1997-01-01-00-27-57,2000-01-01-00-00-00
a0030806,2030806,308061989UP5,30806,,N,N,13.097000000000001,,5.057516203978827,4380.172602966739,TJN,DES=+2030806,1996-12-31-22-57-53,2000-01-01-00-00-00
a0031037,2031037,31037Mydon1996HZ25,31037,Mydon,N,N,19.127,,4.562647670494208,4388.313208865666,TJN,DES=+2031037,1996-12-29-22-07-16,2000-01-01-00-00-00
a0031814,2031814,318141999RW70,31814,,N,N,18.14,,4.954541991529564,4487.627572953749,TJN,DES=+2031814,1996-12-05-02-14-06,2000-01-01-00-00-00
a0031820,2031820,318201999RT186,31820,,N,N,16.585,,4.878772878930267,4445.930838622011,TJN,DES=+2031820,1996-12-15-12-24-55,2000-01-01-00-00-00
a0031821,2031821,318211999RK225,31821,,N,N,19.787,,4.922696955004014,4379.261468945408,TJN,DES=+2031821,1997-01-01-04-25-54,2000-01-01-00-00-00
a0032356,2032356,323562000QM124,32356,,N,N,15.347999999999999,,4.400931716246058,4347.287374228764,TJN,DES=+2032356,1997-01-09-04-16-34,2000-01-01-00-00-00
a0032370,2032370,323702000QY151,32370,,N,N,18.493,,4.8631464343032595,4273.410424521001,TJN,DES=+2032370,1997-01-27-15-32-16,2000-01-01-00-00-00
a0032420,2032420,324202000RS40,32420,,N,N,19.852999999999998,,4.965001465244309,4493.68108892954,TJN,DES=+2032420,1996-12-03-13-54-50,2000-01-01-00-00-00
a0032430,2032430,324302000RQ83,32430,,N,N,13.37,,5.025578291722357,4479.725149005426,TJN,DES=+2032430,1996-12-07-01-38-58,2000-01-01-00-00-00
a0032471,2032471,324712000SK205,32471,,N,N,15.398,,5.0492271199755665,4466.511158614488,TJN,DES=+2032471,1996-12-10-08-56-00,2000-01-01-00-00-00
a0032794,2032794,327941989UE5,32794,,N,N,14.075999999999999,,4.892141112048252,4333.502250480661,TJN,DES=+2032794,1997-01-12-14-59-13,2000-01-01-00-00-00
a0034298,2034298,342982000QH159,34298,,N,N,17.249000000000002,,4.526793238900618,4295.22681876036,TJN,DES=+2034298,1997-01-22-04-38-22,2000-01-01-00-00-00
a0034835,2034835,348352001SZ249,34835,,N,N,15.675999999999998,,4.879433732383911,4478.639367002809,TJN,DES=+2034835,1996-12-07-08-09-51,2000-01-01-00-00-00
a0036922,2036922,369222000SN209,36922,,N,N,18.43,,5.043656739446363,4410.132492206212,TJN,DES=+2036922,1996-12-24-11-12-20,2000-01-01-00-00-00
a0038257,2038257,382571999RC13,38257,,N,N,17.26,,4.587951819562755,4345.602361830604,TJN,DES=+2038257,1997-01-09-14-23-10,2000-01-01-00-00-00
a0042277,2042277,422772001SQ51,42277,,N,N,19.765,,4.889119496181662,4257.0638670188755,TJN,DES=+2042277,1997-01-31-17-37-02,2000-01-01-00-00-00
a0045822,2045822,458222000QQ116,45822,,N,N,19.063,,4.256693267453447,4392.2757906370125,TJN,DES=+2045822,1996-12-28-22-20-44,2000-01-01-00-00-00
a0047956,2047956,479562000QS103,47956,,N,N,19.482,,4.785829438463677,4237.375265626572,TJN,DES=+2047956,1997-02-05-15-44-56,2000-01-01-00-00-00
a0047959,2047959,479592000QP168,47959,,N,N,12.970999999999998,,4.766790417050856,4208.835979611704,TJN,DES=+2047959,1997-02-12-18-59-04,2000-01-01-00-00-00
a0047964,2047964,479642000SG131,47964,,N,N,16.521,,4.475572226619931,4342.951028589179,TJN,DES=+2047964,1997-01-10-06-17-39,2000-01-01-00-00-00
a0048249,2048249,482492001SY345,48249,,N,N,18.713,,5.046432080662878,4223.381763975163,TJN,DES=+2048249,1997-02-09-03-42-35,2000-01-01-00-00-00
a0048604,2048604,486041995CV,48604,,N,N,14.482999999999999,,4.708048985836983,4271.231727055563,TJN,DES=+2048604,1997-01-28-04-36-36,2000-01-01-00-00-00
a0051339,2051339,513392000OA61,51339,,N,N,18.717,,4.795605799411982,4268.246021143955,TJN,DES=+2051339,1997-01-28-22-31-27,2000-01-01-00-00-00
a0051344,2051344,513442000QA127,51344,,N,N,18.299,,4.937296584992094,4300.666433517246,TJN,DES=+2051344,1997-01-20-20-00-07,2000-01-01-00-00-00
a0051348,2051348,513482000QR169,51348,,N,N,18.31,,4.793197980557199,4245.204323095796,TJN,DES=+2051348,1997-02-03-16-46-28,2000-01-01-00-00-00
a0051357,2051357,513572000RM88,51357,,N,N,19.303,,4.824472639635206,4322.939434792486,TJN,DES=+2051357,1997-01-15-06-21-50,2000-01-01-00-00-00
a0051362,2051362,513622000SY247,51362,,N,N,18.137,,4.885070052194731,4341.241954653562,TJN,DES=+2051362,1997-01-10-16-32-55,2000-01-01-00-00-00
a0051994,2051994,519942001TJ58,51994,,N,N,19.745,,4.801306993268146,4356.372835784311,TJN,DES=+2051994,1997-01-06-21-45-48,2000-01-01-00-00-00
a0052273,2052273,522731988RQ10,52273,,N,N,17.291,,4.7472488744435415,4335.5253910330275,TJN,DES=+2052273,1997-01-12-02-50-53,2000-01-01-00-00-00
a0052275,2052275,522751988RS12,52275,,N,N,18.41,,4.9027007820895045,4369.555798449117,TJN,DES=+2052275,1997-01-03-14-39-56,2000-01-01-00-00-00
