JDTDB,Calendar Date (TDB),X,Y,Z,
2450445.237662037, A.D. 1996-Dec-27 17:42:14.0000,  6.742953538787663E+08,  1.784319778817337E+07,  7.547305001382872E+07,
2450446.237662037, A.D. 1996-Dec-28 17:42:14.0000,  6.741795712209821E+08,  1.911083384469131E+07,  7.529139204389204E+07,
2450447.237662037, A.D. 1996-Dec-29 17:42:14.0000,  6.740616506840692E+08,  2.037840931199690E+07,  7.510949517334291E+07,
2450448.237662037, A.D. 1996-Dec-30 17:42:14.0000,  6.739415917006131E+08,  2.164592014455016E+07,  7.492735987295282E+07,
2450449.237662037, A.D. 1996-Dec-31 17:42:14.0000,  6.738193937123259E+08,  2.291336229469571E+07,  7.474498661507861E+07,
2450450.237662037, A.D. 1997-Jan-01 17:42:14.0000,  6.736950561698220E+08,  2.418073171267156E+07,  7.456237587368220E+07,
2450451.237662037, A.D. 1997-Jan-02 17:42:14.0000,  6.735685785324118E+08,  2.544802434655869E+07,  7.437952812434420E+07,
2450452.237662037, A.D. 1997-Jan-03 17:42:14.0000,  6.734399602679263E+08,  2.671523614218323E+07,  7.419644384427078E+07,
2450453.237662037, A.D. 1997-Jan-04 17:42:14.0000,  6.733092008525804E+08,  2.798236304298235E+07,  7.401312351229346E+07,
2450454.237662037, A.D. 1997-Jan-05 17:42:14.0000,  6.731762997708844E+08,  2.924940098984909E+07,  7.382956760886347E+07,
2450455.237662037, A.D. 1997-Jan-06 17:42:14.0000,  6.730412565156031E+08,  3.051634592097071E+07,  7.364577661604054E+07,
2450456.237662037, A.D. 1997-Jan-07 17:42:14.0000,  6.729040705877572E+08,  3.178319377167360E+07,  7.346175101747869E+07,
2450457.237662037, A.D. 1997-Jan-08 17:42:14.0000,  6.727647414966605E+08,  3.304994047428359E+07,  7.327749129840973E+07,
2450458.237662037, A.D. 1997-Jan-09 17:42:14.0000,  6.726232687599862E+08,  3.431658195800771E+07,  7.309299794562599E+07,
2450459.237662037, A.D. 1997-Jan-10 17:42:14.0000,  6.724796519038520E+08,  3.558311414884064E+07,  7.290827144746315E+07,
2450460.237662037, A.D. 1997-Jan-11 17:42:14.0000,  6.723338904629166E+08,  3.684953296949638E+07,  7.272331229378396E+07,
2450461.237662037, A.D. 1997-Jan-12 17:42:14.0000,  6.721859839804825E+08,  3.811583433936393E+07,  7.253812097596377E+07,
2450462.237662037, A.D. 1997-Jan-13 17:42:14.0000,  6.720359320085973E+08,  3.938201417448364E+07,  7.235269798687707E+07,
2450463.237662037, A.D. 1997-Jan-14 17:42:14.0000,  6.718837341081538E+08,  4.064806838754166E+07,  7.216704382088643E+07,
